Mã hàng,Mô tả hàng hoá - Tiếng Việt,"Chính sách mặt hàng
theo mã HS"
25010010,#NAME?,Hạn ngạch thuế quan (12/2018/TT-BTC)
25010020,#NAME?,Hạn ngạch thuế quan (12/2018/TT-BTC)
25010050,#NAME?,Hạn ngạch thuế quan (12/2018/TT-BTC)
,- Loại khác:,
25010091,"- - Có hàm lượng natri clorua trên 60% nhưng dưới 97%, tính theo hàm lượng khô, đã bổ sung thêm i ốt (SEN)",Hạn ngạch thuế quan (12/2018/TT-BTC)
25010093,"- - Có hàm lượng natri clorua từ 97% trở lên, tính theo hàm lượng khô (SEN)",Hạn ngạch thuế quan (12/2018/TT-BTC)
25010099,#NAME?,Hạn ngạch thuế quan (12/2018/TT-BTC)
25020000,Pirít sắt chưa nung,
25030000,"Lưu huỳnh các loại, trừ lưu huỳnh thăng hoa, lưu huỳnh kết tủa và lưu huỳnh dạng keo",
2504,Graphit tự nhiên,
25041000,#NAME?,Chủng loại và tiêu chuẩn khoáng sản XK (23/2021/TT-BCT)
25049000,#NAME?,Chủng loại và tiêu chuẩn khoáng sản XK (23/2021/TT-BCT)
2505,"Các loại cát tự nhiên, đã hoặc chưa nhuộm màu, trừ cát chứa kim loại thuộc Chương 26",
25051000,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
25059000,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
2506,"Thạch anh (trừ cát tự nhiên); quartzite, đã hoặc chưa đẽo thô hoặc mới chỉ được cắt, bằng cưa hoặc cách khác, thành khối hoặc tấm hình chữ nhật (kể cả hình vuông)",
25061000,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
25062000,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
25070000,"Cao lanh và đất sét cao lanh khác, đã hoặc chưa nung",Khoáng sản làm VLXD (04/2021/TT-BXD)
2508,"Đất sét khác (không kể đất sét trương nở thuộc nhóm 68.06), andalusite, kyanite và sillimanite, đã hoặc chưa nung; mullite; đất chịu lửa (chamotte) hoặc đất dinas",
25081000,#NAME?,
25083000,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
250840,- Đất sét khác:,
25084010,#NAME?,
25084090,#NAME?,
25085000,"- Andalusite, kyanite và sillimanite",
25086000,#NAME?,
25087000,#NAME?,
25090000,Đá phấn,
2510,"Canxi phosphat tự nhiên, canxi phosphat nhôm tự nhiên và đá phấn có chứa phosphat",
251010,- Chưa nghiền:,
25101010,#NAME?,
25101090,#NAME?,
251020,- Đã nghiền:,
25102010,#NAME?,
25102090,#NAME?,
2511,"Bari sulphat tự nhiên (barytes); bari carbonat tự nhiên (witherite), đã hoặc chưa nung, trừ bari oxit thuộc nhóm 28.16",
25111000,#NAME?,
25112000,#NAME?,
25120000,"Bột hóa thạch silic (ví dụ, đất tảo cát, tripolite và diatomite) và đất silic tương tự, đã hoặc chưa nung, có trọng lượng riêng biểu kiến không quá 1",Chủng loại và tiêu chuẩn khoáng sản XK (23/2021/TT-BCT)
2513,"Đá bọt; đá nhám; corundum tự nhiên, đá garnet tự nhiên và đá mài tự nhiên khác, đã hoặc chưa qua xử lý nhiệt",
25131000,#NAME?,
25132000,#NAME?,
25140000,"Đá phiến, đã hoặc chưa đẽo thô hoặc mới chỉ cắt, bằng cưa hoặc cách khác, thành khối hoặc tấm hình chữ nhật (kể cả hình vuông)",Khoáng sản làm VLXD (04/2021/TT-BXD)
2515,"Đá hoa (marble), đá travertine, ecaussine và đá vôi khác để làm tượng đài hoặc đá xây dựng có trọng lượng riêng biểu kiến từ 2,5 trở lên, và thạch cao tuyết hoa, đã hoặc chưa đẽo thô hoặc mới chỉ cắt, bằng cưa hoặc bằng cách khác, thành các khối hoặc tấm hình chữ nhật (kể cả hình vuông)",
,- Đá hoa (marble) và đá travertine:,
25151100,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
251512,"- - Mới chỉ cắt, bằng cưa hoặc cách khác, thành các khối hoặc tấm hình chữ nhật (kể cả hình vuông):",
25151210,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
25151220,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
25152000,- Ecaussine và đá vôi khác để làm tượng đài hoặc đá xây dựng; thạch cao tuyết hoa,Khoáng sản làm VLXD (04/2021/TT-BXD)
2516,"Đá granit, đá pocfia, bazan, đá cát kết (sa thạch) và đá khác để làm tượng đài hoặc đá xây dựng, đã hoặc chưa đẽo thô hoặc mới chỉ cắt bằng cưa hoặc cách khác, thành khối hoặc tấm hình chữ nhật (kể cả hình vuông)",
,- Granit:,
25161100,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
251612,"- - Mới chỉ cắt, bằng cưa hoặc cách khác, thành các khối hoặc tấm hình chữ nhật (kể cả hình vuông):",
25161210,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
25161220,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
251620,- Đá cát kết:,
25162010,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
25162020,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
25169000,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
2517,"Đá cuội, sỏi, đá đã vỡ hoặc nghiền, chủ yếu để làm cốt bê tông, để rải đường bộ hoặc đường sắt hoặc đá ballast, đá cuội nhỏ và đá lửa tự nhiên (flint) khác, đã hoặc chưa qua xử lý nhiệt; đá dăm từ xỉ, từ xỉ luyện kimhoặc từ phế thải công nghiệp tương tự, có hoặc không kết hợp với các vật liệu trong phần đầu của nhóm này; đá dăm trộn nhựa đường, đá ở dạng viên, mảnh và bột, làm từ các loại đá thuộc nhóm 25.15 hoặc 25.16, đã hoặc chưa qua xử lý nhiệt",
25171000,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
25172000,"- Đá dăm từ xỉ, từ xỉ luyện kim hoặc từ phế thải công nghiệp tương tự, có hoặc không kết hợp với các vật liệu của phân nhóm 2517.10",
25173000,#NAME?,
,"- Đá ở dạng viên, mảnh và bột, làm từ các loại đá thuộc nhóm 25.15 hoặc 25.16, đã hoặc chưa qua xử lý nhiệt:",
25174100,#NAME?,Chủng loại và tiêu chuẩn khoáng sản XK (23/2021/TT-BCT)
25174900,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
2518,"Dolomite, đã hoặc chưa nung hoặc thiêu kết, kể cả dolomite đã đẽo thô hoặc mới chỉ cắt bằng cưa hoặc các cách khác, thành các khối hoặc tấm hình chữ nhật (kể cả hình vuông)",
25181000,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
25182000,#NAME?,
2519,"Magiê carbonat tự nhiên (magiesite); magiê ôxít nấu chảy; magiê ôxít nung trơ (thiêu kết), có hoặc không thêm một lượng nhỏ ôxít khác trước khi thiêu kết; magiê ôxít khác, tinh khiết hoặc không tinh khiết",
25191000,#NAME?,
251990,- Loại khác:,
25199010,- - Magiê ôxít nấu chảy; magiê ôxít nung trơ (thiêu kết),
25199090,#NAME?,
2520,"Thạch cao; thạch cao khan; thạch cao plaster (bao gồm thạch cao nung hoặc canxi sulphat đã nung), đã hoặc chưa nhuộm màu, có hoặc không thêm một lượng nhỏ chất xúc tác hoặc chất ức chế",
25201000,- Thạch cao; thạch cao khan,Dược liệu (48/2018/TT-BYT - PL1)
252020,- Thạch cao plaster:,
25202010,#NAME?,
25202090,#NAME?,
25210000,"Chất gây chảy gốc đá vôi; đá vôi và đá có chứa canxi khác, dùng để sản xuất vôi hoặc xi măng",Khoáng sản làm VLXD (04/2021/TT-BXD)
2522,"Vôi sống, vôi tôi và vôi thủy lực, trừ oxit canxi và hydroxit canxi thuộc nhóm 28.25",
25221000,#NAME?,
25222000,#NAME?,
25223000,#NAME?,
2523,"Xi măng poóc lăng (1), xi măng nhôm, xi măng xỉ (xốp), xi măng super sulphat và xi măng thủy lực tương tự, đã hoặc chưa pha màu hoặc ở dạng clanhke",
252310,- Clanhke xi măng (1):,
25231010,#NAME?,
25231090,#NAME?,
,- Xi măng poóc lăng (1):,
25232100,#NAME?,
252329,- - Loại khác:,
25232910,#NAME?,
25232990,#NAME?,
25233000,#NAME?,
25239000,#NAME?,
2524,Amiăng.,
25241000,#NAME?,
25249000,#NAME?,Hóa chất SX KD có ĐK trong lĩnh vực CN (113/2017/NĐ-CP PL1); Hóa chất cấm (113/2017/NĐ-CP PL3); Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
2525,"Mi ca, kể cả mi ca tách lớp; phế liệu mi ca",
25251000,#NAME?,
25252000,#NAME?,Chủng loại và tiêu chuẩn khoáng sản XK (23/2021/TT-BCT)
25253000,#NAME?,
2526,"Quặng steatit tự nhiên, đã hoặc chưa đẽo thô hoặc mới chỉ cắt, bằng cưa hoặc các cách khác, thành các khối hoặc tấm hình chữ nhật (kể cả hình vuông); talc",
25261000,#NAME?,
252620,- Đã nghiền hoặc làm thành bột:,
25262010,#NAME?,Dược liệu (48/2018/TT-BYT - PL1)
25262090,#NAME?,
25280000,"Quặng borat tự nhiên và tinh quặng borat (đã hoặc chưa nung), nhưng không kể borat tách từ nước biển tự nhiên; axit boric tự nhiên chứa không quá 85% H3BO3 tính theo trọng lượng khô",
2529,"Tràng thạch (đá bồ tát); lơxit (leucite), nephelin và nephelin xienit; khoáng fluorite",
252910,- Tràng thạch (đá bồ tát):,
25291010,- - Potash tràng thạch; soda tràng thạch(SEN),Khoáng sản làm VLXD (04/2021/TT-BXD)
25291090,#NAME?,Khoáng sản làm VLXD (04/2021/TT-BXD)
,- Khoáng fluorite:,
25292100,- - Có chứa canxi florua không quá 97% tính theo khối lượng,
25292200,- - Có chứa canxi florua trên 97% tính theo khối lượng,
25293000,- Lơxit; nephelin và nephelin xienit,
2530,Các chất khoáng chưa được chi tiết hoặc ghi ở nơi khác,
25301000,#NAME?,
253020,"- Kiezerit, epsomit (magiê sulphat tự nhiên):",
25302010,#NAME?,
25302020,#NAME?,
253090,- Loại khác:,
25309010,#NAME?,
25309090,#NAME?,Chủng loại và tiêu chuẩn khoáng sản XK (23/2021/TT-BCT)
,"(1) Tham khảo TCVN 2682:2020, TCVN 7024:2013",
,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022,
,Chương 26,
,"Quặng, xỉ và tro",
,Chú giải,
,1. Chương này không bao gồm:,
,(a) Xỉ hoặc các phế liệu công nghiệp tương tự đã được gia công như đá dăm (nhóm 25.17);,
,(b) Magiê carbonat tự nhiên (magnesite) đã hoặc chưa nung (nhóm 25.19);,
,"(c) Cặn từ thùng chứa dầu có nguồn gốc từ dầu mỏ, chứa chủ yếu là các loại dầu này (nhóm 27.10); ",
,(d) Xỉ bazơ thuộc Chương 31;,
,"(e) Sợi xỉ, bông len đá (rock wool) hoặc các loại sợi khoáng tương tự (nhóm 68.06);",
,"(f) Phế liệu hoặc mảnh vụn của kim loại quý hoặc kim loại dát phủ bằng kim loại quý; phế liệu hoặc phế thải khác chứa kim loại quý hoặc hỗn hợp kim loại quý, thuộc loại sử dụng chủ yếu cho việc thu hồi kim loại quý (nhóm 71.12 hoặc 85.49); hoặc",
,"(g) Đồng, niken hoặc coban sten sản xuất bằng quy trình nấu chảy (Phần XV).",
,"2. Theo mục đích của các nhóm từ 26.01 đến 26.17, thuật ngữ ""quặng"" là khoáng sản của nhiều thực thể khoáng chất thường được dùng trong công nghiệp luyện kim để tách thủy ngân, kim loại thuộc nhóm 28.44 hoặc các kim loại thuộc Phần XIV hoặc XV, ngay cả khi các quặng này không dùng để luyện kim. Tuy nhiên, các nhóm từ 26.01 đến 26.17 không bao gồm các loại khoáng đã qua các quy trình không thông thường đối với ngành công nghiệp luyện kim.",
,3. Nhóm 26.20 chỉ áp dụng đối với:,
,"(a) Xỉ, tro và cặn dùng trong công nghiệp tách kim loại hoặc dùng để sản xuất các hợp kim hóa học, trừ tro và cặn từ quá trình đốt rác thải đô thị (nhóm 26.21); và",
,"(b) Xỉ, tro và cặn chứa arsen, có chứa hoặc không chứa kim loại, là loại dùng để tách arsen hoặc kim loại hoặc dùng để sản xuất các hợp chất hóa học của chúng.",
,Chú giải phân nhóm,
,"1. Theo mục đích của phân nhóm 2620.21, ""cặn của xăng pha chì và cặn của hợp chất chì chống kích nổ"" nghĩa là cặn thu được từ các thùng chứa xăng pha chì và các hợp chất chì chống kích nổ (ví dụ, chì tetraethyl), và bao gồm chủ yếu là chì, hợp chất chì và ôxit sắt.",
,"2. Xỉ, tro và cặn chứa arsen, thủy ngân, tali hoặc các hỗn hợp của chúng, thuộc loại dùng để tách arsen hoặc những kim loại trên hoặc dùng để sản xuất các hợp chất hóa học của chúng, được phân loại vào phân nhóm 2620.60.",
2601,"Quặng sắt và tinh quặng sắt, kể cả pirit sắt đã nung",
,"- Quặng sắt và tinh quặng sắt, trừ pirit sắt đã nung:",
260111,- - Chưa nung kết:,
26011110,#NAME?,
26011190,#NAME?,
260112,- - Đã nung kết:,
26011210,#NAME?,
26011290,#NAME?,
26012000,#NAME?,
26020000,"Quặng mangan và tinh quặng mangan, kể cả quặng mangan chứa sắt và tinh quặng mangan chứa sắt với hàm lượng mangan từ 20% trở lên, tính theo trọng lượng khô",
26030000,Quặng đồng và tinh quặng đồng,
26040000,Quặng niken và tinh quặng niken,Chủng loại và tiêu chuẩn khoáng sản XK (23/2021/TT-BCT)
26050000,Quặng coban và tinh quặng coban,
26060000,Quặng nhôm và tinh quặng nhôm,
26070000,Quặng chì và tinh quặng chì,
26080000,Quặng kẽm và tinh quặng kẽm,
26090000,Quặng thiếc và tinh quặng thiếc,
26100000,Quặng crôm và tinh quặng crôm,
26110000,Quặng vonfram và tinh quặng vonfram,
2612,Quặng urani hoặc quặng thori và tinh quặng urani hoặc tinh quặng thori,
26121000,#NAME?,
26122000,#NAME?,Chủng loại và tiêu chuẩn khoáng sản XK (23/2021/TT-BCT)
2613,Quặng molipden và tinh quặng molipden,
26131000,#NAME?,
26139000,#NAME?,
2614,Quặng titan và tinh quặng titan,
26140010,#NAME?,
26140090,#NAME?,Chủng loại và tiêu chuẩn khoáng sản XK (23/2021/TT-BCT)
2615,"Quặng niobi, tantali, vanadi hoặc zircon và tinh quặng của các loại quặng đó ",
26151000,#NAME?,Chủng loại và tiêu chuẩn khoáng sản XK (23/2021/TT-BCT)
26159000,#NAME?,
2616,Quặng kim loại quý và tinh quặng kim loại quý,
26161000,#NAME?,
26169000,#NAME?,
2617,Các quặng khác và tinh quặng của các quặng đó,
26171000,#NAME?,
26179000,#NAME?,Chủng loại và tiêu chuẩn khoáng sản XK (23/2021/TT-BCT)
26180000,Xỉ hạt (xỉ cát) từ công nghiệp luyện sắt hoặc thép,
26190000,"Xỉ, xỉ luyện kim (trừ xỉ hạt), vụn xỉ và các phế thải khác từ công nghiệp luyện sắt hoặc thép",
2620,"Xỉ, tro và cặn (trừ loại thu được từ quá trình sản xuất sắt hoặc thép), có chứa kim loại, arsen hoặc các hợp chất của chúng",
,- Chứa chủ yếu là kẽm:,
26201100,#NAME?,Hóa chất SX KD có ĐK trong lĩnh vực CN (113/2017/NĐ-CP PL1); Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
26201900,#NAME?,Hóa chất SX KD có ĐK trong lĩnh vực CN (113/2017/NĐ-CP PL1); Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
,- Chứa chủ yếu là chì:,
26202100,#NAME?,Thuốc bảo vệ thực vật cấm SD tại VN (11/2021 & 01/2022/TT-BNNPTNT M23)
26202900,#NAME?,
26203000,#NAME?,
26204000,#NAME?,
26206000,#NAME?,Thuốc bảo vệ thực vật cấm SD tại VN (11/2021 & 01/2022/TT-BNNPTNT M23)
,- Loại khác:,
26209100,#NAME?,Hóa chất hạn chế SX KD trong lĩnh vực CN (82/2022/NĐ-CP PL2); Hóa chất phải khai báo (113/2017/NĐ-CP PL5); Thuốc bảo vệ thực vật cấm SD tại VN (11/2021 & 01/2022/TT-BNNPTNT M23)
262099,- - Loại khác:,
26209910,#NAME?,
26209990,#NAME?,
2621,"Xỉ và tro khác, kể cả tro tảo biển (tảo bẹ); tro và cặn từ quá trình đốt rác thải đô thị",
26211000,#NAME?,
262190,- Loại khác:,
26219010,#NAME?,
26219090,#NAME?,
,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022,
,Chương 27,
,"Nhiên liệu khoáng, dầu khoáng và các sản phẩm  chưng cất từ chúng; các chất chứa bi-tum; các loại sáp khoáng chất",
,Chú giải,
,1. Chương này không bao gồm:,
,"(a) Các hợp chất hữu cơ đã được xác định về mặt hóa học riêng biệt, trừ metan và propan tinh khiết đã được phân loại ở nhóm 27.11;",
,(b) Dược phẩm thuộc nhóm 30.03 hoặc 30.04; hoặc,
,"(c) Hỗn hợp hydrocarbon chưa no thuộc nhóm 33.01, 33.02 hoặc 38.05.",
,"2. Trong nhóm 27.10, khái niệm ""dầu có nguồn gốc từ dầu mỏ và các loại dầu thu được từ khoáng bi-tum"" không chỉ bao gồm dầu có nguồn gốc từ dầu mỏ và dầu thu được từ khoáng bi-tum mà còn bao gồm các loại dầu tương tự, cũng như loại dầu khác chủ yếu chứa hỗn hợp hydrocarbon chưa no, thu được bằng quá trình bất kỳ, với điều kiện trọng lượng cấu tử không thơm cao hơn cấu tử thơm. ",
,"Tuy nhiên, khái niệm này không bao gồm các polyolefin tổng hợp lỏng, loại dưới 60% thể tích chưng cất ở 300°C, sau khi sử dụng phương pháp chưng cất giảm áp suất sẽ chuyển đổi sang 1.013 millibar (Chương 39).",
,"3. Theo mục đích của nhóm 27.10, ""dầu thải"" có nghĩa là các chất thải chứa chủ yếu là dầu có nguồn gốc từ dầu mỏ và các loại dầu thu từ khoáng bi-tum (theo mô tả Chú giải 2 của Chương này), có hoặc không có nước. Bao gồm:",
,"(a) Các loại dầu không còn dùng được như là sản phẩm ban đầu (ví dụ, dầu bôi trơn đã sử dụng, dầu thủy lực đã sử dụng và dầu dùng cho máy biến điện đã sử dụng);",
,"(b) Dầu cặn từ bể chứa dầu có nguồn gốc từ dầu mỏ, chứa chủ yếu là dầu này và nồng độ chất phụ gia cao (ví dụ, hóa chất) dùng để sản xuất các sản phẩm gốc; và",
,"(c) Các loại dầu này ở dạng nhũ tương trong nước hoặc hòa lẫn với nước, như dầu thu hồi từ dầu tràn, từ rửa bể chứa dầu, hoặc từ dầu cắt để chạy máy.",
,Chú giải phân nhóm,
,"1. Theo mục đích của phân nhóm 2701.11 ""anthracite"" có nghĩa là loại than có giới hạn chất bốc (trong điều kiện khô, không có khoáng chất) không quá 14%.",
,"2. Theo mục đích của phân nhóm 2701.12, ""than bi-tum"" là loại than có giới hạn chất bốc (trong điều kiện khô, không có khoáng chất) trên 14% và giới hạn nhiệt lượng từ 5.833 kcal/kg trở lên (trong điều kiện ẩm, không có khoáng chất).",
,"3. Theo mục đích của các phân nhóm 2707.10, 2707.20, 2707.30 và 2707.40 khái niệm “benzol (benzen)”, “toluol (toluen)”, “xylol (xylen)” và ""naphthalen"" áp dụng cho các sản phẩm chứa hơn 50% tính theo trọng lượng tương ứng là benzen, toluen, xylen hoặc naphthalen.",
,"4. Theo mục đích của phân nhóm 2710.12, ""dầu nhẹ và các chế phẩm"" là các loại dầu có thể tích thành phần cất từ 90% trở lên (kể cả hao hụt) ở nhiệt độ 210oC theo phương pháp ISO 3405 (tương đương với phương pháp ASTM D 86).",
,"5. Theo mục đích của các phân nhóm thuộc nhóm 27.10, thuật ngữ ""diesel sinh học"" có nghĩa là mono-alkyl este của các axit béo, loại sử dụng làm nhiên liệu, được làm từ chất béo và dầu động vật, thực vật hoặc vi sinh vật đã hoặc chưa qua sử dụng.",
2701,"Than đá; than bánh, than quả bàng và nhiên liệu rắn tương tự sản xuất từ than đá",
,"- Than đá, đã hoặc chưa nghiền thành bột, nhưng chưa đóng bánh:",
27011100,#NAME?,Than cám (41/2019/TT-BCT)
270112,- - Than bi-tum:,
27011210,#NAME?,
27011290,#NAME?,
27011900,#NAME?,
27012000,#NAME?,
2702,"Than non, đã hoặc chưa đóng bánh, trừ than huyền",
27021000,#NAME?,
27022000,#NAME?,
2703,"Than bùn (kể cả bùn rác), đã hoặc chưa đóng bánh",
27030010,#NAME?,
27030020,#NAME?,
2704,"Than cốc và than nửa cốc luyện từ than đá, than non hoặc than bùn, đã hoặc chưa đóng bánh; muội bình chưng than đá",
27040010,#NAME?,
27040020,#NAME?,
27040030,#NAME?,
27050000,"Khí than đá, khí than ướt, khí than và các loại khí tương tự, trừ các loại khí dầu mỏ và khí hydrocarbon khác",
27060000,"Hắc ín chưng cất từ than đá, than non hoặc than bùn, và các loại hắc ín khoáng chất khác, đã hoặc chưa khử nước hoặc chưng cất từng phần, kể cả hắc ín tái chế",
2707,Dầu và các sản phẩm khác từ chưng cất hắc ín than đá ở nhiệt độ cao; các sản phẩm tương tự có khối lượng cấu tử thơm lớn hơn cấu tử không thơm,
27071000,#NAME?,Hóa chất hạn chế SX KD trong lĩnh vực CN (82/2022/NĐ-CP PL2); Hóa chất phải khai báo (113/2017/NĐ-CP PL5); Hàng hóa nhóm 2 (2711/QĐ-BKHCN 2022)
27072000,#NAME?,
27073000,#NAME?,
27074000,#NAME?,
27075000,- Các hỗn hợp hydrocarbon thơm khác có từ 65% thể tích trở lên (kể cả lượng hao hụt) được chưng cất ở nhiệt độ 250oC theo phương pháp ISO 3405 (tương đương phương pháp ASTM D 86),
,- Loại khác:,
27079100,#NAME?,
270799,- - Loại khác:,
27079910,#NAME?,
27079990,#NAME?,
2708,"Nhựa chưng (hắc ín) và than cốc nhựa chưng, thu được từ hắc ín than đá hoặc hắc ín khoáng chất khác",
27081000,#NAME?,
27082000,#NAME?,
2709,"Dầu mỏ và các loại dầu thu được từ các khoáng bi-tum, ở dạng thô",
27090010,#NAME?,Xăng dầu (41/2019/TT-BCT)
27090020,#NAME?,Xăng dầu (41/2019/TT-BCT)
27090090,#NAME?,Xăng dầu (41/2019/TT-BCT)
2710,"Dầu có nguồn gốc từ dầu mỏ và các loại dầu thu được từ các khoáng bi-tum, trừ dầu thô; các chế phẩm chưa được chi tiết hoặc ghi ở nơi khác, có chứa hàm lượng từ 70% trở lên là dầu có nguồn gốc từ dầu mỏ hoặc các loại dầu thu được từ các khoáng bi-tum, những loại dầu này là thành phần cơ bản của các chế phẩm đó; dầu thải. (SEN) ",
,"- Dầu có nguồn gốc từ dầu mỏ và các loại dầu thu được từ các khoáng bi-tum (trừ dầu thô) và các chế phẩm chưa được chi tiết hoặc ghi ở nơi khác, có chứa hàm lượng từ 70% trở lên là dầu có nguồn gốc từ dầu mỏ hoặc các loại dầu thu được từ các khoáng bi-tum, những loại dầu này là thành phần cơ bản của các chế phẩm đó, trừ loại chứa dầu diesel sinh học và trừ dầu thải:",
271012,- - Dầu nhẹ và các chế phẩm:,
,"- - - Xăng động cơ, có pha chì:",
27101211,- - - - RON 97 và cao hơn,Xăng dầu (41/2019/TT-BCT)
27101212,- - - - RON 90 và cao hơn nhưng dưới RON 97,Xăng dầu (41/2019/TT-BCT)
27101213,#NAME?,Xăng dầu (41/2019/TT-BCT)
,"- - - Xăng động cơ, không pha chì:",
,- - - - RON 97 và cao hơn:,
27101221,#NAME?,HH NK phải làm thủ tục HQ tại CK nhập (23/2019/QĐ-TTg); Xăng dầu (41/2019/TT-BCT); Hàng hóa nhóm 2 (2711/QĐ-BKHCN 2022)
27101222,#NAME?,HH NK phải làm thủ tục HQ tại CK nhập (23/2019/QĐ-TTg); Xăng dầu (41/2019/TT-BCT); Hàng hóa nhóm 2 (2711/QĐ-BKHCN 2022)
27101223,#NAME?,HH NK phải làm thủ tục HQ tại CK nhập (23/2019/QĐ-TTg); Xăng dầu (41/2019/TT-BCT); Hàng hóa nhóm 2 (2711/QĐ-BKHCN 2022)
,- - - - RON 90 và cao hơn nhưng dưới RON 97:,
27101224,#NAME?,HH NK phải làm thủ tục HQ tại CK nhập (23/2019/QĐ-TTg); Xăng dầu (41/2019/TT-BCT); Hàng hóa nhóm 2 (2711/QĐ-BKHCN 2022)
27101225,#NAME?,HH NK phải làm thủ tục HQ tại CK nhập (23/2019/QĐ-TTg); Xăng dầu (41/2019/TT-BCT); Hàng hóa nhóm 2 (2711/QĐ-BKHCN 2022)
27101226,#NAME?,HH NK phải làm thủ tục HQ tại CK nhập (23/2019/QĐ-TTg); Xăng dầu (41/2019/TT-BCT); Hàng hóa nhóm 2 (2711/QĐ-BKHCN 2022)
,- - - - RON khác:,
27101227,#NAME?,HH NK phải làm thủ tục HQ tại CK nhập (23/2019/QĐ-TTg); Xăng dầu (41/2019/TT-BCT)
27101228,#NAME?,HH NK phải làm thủ tục HQ tại CK nhập (23/2019/QĐ-TTg); Xăng dầu (41/2019/TT-BCT)
27101229,#NAME?,HH NK phải làm thủ tục HQ tại CK nhập (23/2019/QĐ-TTg); Xăng dầu (41/2019/TT-BCT)
,"- - - Xăng máy bay, loại sử dụng cho động cơ máy bay kiểu piston:",
27101231,- - - - Octane 100 và cao hơn(SEN),HH NK phải làm thủ tục HQ tại CK nhập (23/2019/QĐ-TTg); Xăng dầu (41/2019/TT-BCT)
27101239,#NAME?,HH NK phải làm thủ tục HQ tại CK nhập (23/2019/QĐ-TTg); Xăng dầu (41/2019/TT-BCT)
27101240,#NAME?,
27101250,#NAME?,
27101260,- - - Dung môi có hàm lượng cấu tử thơm thấp dưới 1% tính theo trọng lượng,
27101270,#NAME?,
27101280,#NAME?,Xăng dầu (41/2019/TT-BCT)
,- - - Loại khác:,
27101291,#NAME?,
27101292,"- - - - Loại khác, spirit dầu mỏ(1), có độ chớp cháy dưới 23oC",Xăng dầu (41/2019/TT-BCT)
27101299,#NAME?,
271019,- - Loại khác:,
27101920,#NAME?,Xăng dầu (41/2019/TT-BCT)
27101930,#NAME?,
,- - - Dầu và mỡ bôi trơn:,
27101941,#NAME?,
27101942,#NAME?,
27101944,#NAME?,
27101945,#NAME?,
27101946,#NAME?,Hàng hóa nhóm 2 (2711/QĐ-BKHCN 2022)
27101950,#NAME?,
27101960,#NAME?,
,- - - Nhiên liệu diesel; các loại dầu nhiên liệu:,
27101971,#NAME?,Xăng dầu (41/2019/TT-BCT); Hàng hóa nhóm 2 (2711/QĐ-BKHCN 2022)
27101972,#NAME?,Xăng dầu (41/2019/TT-BCT); Hàng hóa nhóm 2 (2711/QĐ-BKHCN 2022)
27101979,#NAME?,Xăng dầu (41/2019/TT-BCT)
27101981,- - - Nhiên liệu động cơ máy bay (nhiên liệu phản lực) có độ chớp cháy từ 23oC trở lên,Xăng dầu (41/2019/TT-BCT)
27101982,- - - Nhiên liệu động cơ máy bay (nhiên liệu phản lực) có độ chớp cháy dưới 23oC,Xăng dầu (41/2019/TT-BCT)
27101983,#NAME?,Xăng dầu (41/2019/TT-BCT)
27101989,#NAME?,
27101990,#NAME?,
27102000,"- Dầu mỏ và các loại dầu thu được từ các khoáng bi-tum (trừ dầu thô) và các chế phẩm chưa được chi tiết hoặc ghi ở nơi khác, có chứa từ 70% trọng lượng trở lên là dầu mỏ hoặc các loại dầu thu được từ các khoáng bi-tum, những loại dầu này là thành phần cơ bản của các chế phẩm đó, có chứa dầu diesel sinh học, trừ dầu thải",Xăng dầu (41/2019/TT-BCT); Hàng hóa nhóm 2 (2711/QĐ-BKHCN 2022)
,- Dầu thải:,
27109100,"- - Chứa polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) hoặc polybrominated biphenyls (PBBs)",Hóa chất hạn chế SX KD trong lĩnh vực CN (82/2022/NĐ-CP PL2); Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
27109900,#NAME?,
