hscode,mo_ta,chinhsach_mathang
32030010,- Loại sử dụng trong công nghiệp thực phẩm hoặc đồ uống,
32030090,- Loại khác,
3204,"Chất màu hữu cơ tổng hợp, đã hoặc chưa xác định về mặt hóa học; các chế phẩm đã được ghi trong Chú giải 3 của Chương này dựa trên chất màu hữu cơ tổng hợp; các sản phẩm hữu cơ tổng hợp được dùng như tác nhân tăng sáng huỳnh quang hoặc như các chất phát quang, đã hoặc chưa xác định về mặt hóa học",
#488,- Chất màu hữu cơ tổng hợp và các chế phẩm từ chúng như đã ghi trong Chú giải 3 của Chương này:,
320411,- - Thuốc nhuộm phân tán và các chế phẩm từ chúng:,
32041110,- - - Dạng thô (SEN),"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
32041190,- - - Loại khác,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
320412,"- - Thuốc nhuộm axit, có hoặc không tạo phức kim loại, và các chế phẩm từ chúng; thuốc nhuộm cầm màu và các chế phẩm từ chúng:",
32041210,- - - Thuốc nhuộm axit ,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
32041290,- - - Loại khác,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
32041300,- - Thuốc nhuộm bazơ và các chế phẩm từ chúng,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
32041400,- - Thuốc nhuộm trực tiếp và các chế phẩm từ chúng,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
32041500,- - Thuốc nhuộm chàm (kể cả loại có thể dùng như thuốc màu) và các chế phẩm từ chúng,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
32041600,- - Thuốc nhuộm hoạt tính và các chế phẩm từ chúng,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
320417,- - Thuốc màu và các chế phẩm từ chúng:,
32041710,- - - Thuốc màu hữu cơ tổng hợp ở dạng bột,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
32041790,- - - Loại khác,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
32041800, - - Các chất màu carotenoit và các chế phẩm từ chúng,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
32041900,"- - Loại khác, kể cả hỗn hợp chất màu từ hai phân nhóm trở lên của các phân nhóm từ 3204.11 đến 3204.19","Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
32042000,- Các sản phẩm hữu cơ tổng hợp được dùng như tác nhân tăng sáng huỳnh quang,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15); SP HH nhóm 2 (9981/QĐ-BCA 2019)"
32049000,- Loại khác,"Hóa chất, SP sinh học, vi sinh vật cấm SD trong TACN (11/2021 & 01/2022/TT-BNNPTNT M15)"
32050000,Các chất màu nền (colour lakes); các chế phẩm dựa trên các chất màu nền như đã ghi trong Chú giải 3 của Chương này,
3206,"Chất màu khác; các chế phẩm như đã ghi trong Chú giải 3 của Chương này, trừ các loại thuộc nhóm 32.03, 32.04 hoặc 32.05; các sản phẩm vô cơ được dùng như chất phát quang, đã hoặc chưa xác định về mặt hóa học",
#489,- Thuốc màu và các chế phẩm từ dioxit titan:,
320611,- - Chứa hàm lượng dioxit titan từ 80% trở lên tính theo trọng lượng khô:,
32061110,- - - Thuốc màu,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
32061190,- - - Loại khác,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
320619,- - Loại khác:,
32061910,- - - Thuốc màu,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
32061990,- - - Loại khác,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
320620,- Thuốc màu và các chế phẩm từ hợp chất crom:,
32062010,"- - Màu vàng crom, màu xanh crom và màu da cam molybdat hoặc màu đỏ molybdat từ hợp chất crom",Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
32062090,- - Loại khác,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
#490,- Chất màu khác và các chế phẩm khác:,
320641,- - Chất màu xanh nước biển và các chế phẩm từ chúng:,
32064110,- - - Các chế phẩm,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
32064190,- - - Loại khác,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
320642,- - Litopon và các thuốc màu khác và các chế phẩm từ kẽm sulphua:,
32064210,- - - Các chế phẩm,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
32064290,- - - Loại khác,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
320649,- - Loại khác:,
#491,- - - Các chế phẩm:,
32064911,- - - - Của các chất màu vô cơ từ hợp chất cađimi hoặc hexacyanoferrates (ferrocyanides và ferricyanides),Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
32064919,- - - - Loại khác,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
32064990,- - - Loại khác,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
320650,- Các sản phẩm vô cơ được dùng như chất phát quang:,
32065010,- - Các chế phẩm,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
32065090,- - Loại khác,Hóa chất phải khai báo (113/2017/NĐ-CP PL5)
3207,"Thuốc màu đã pha chế, các chất cản quang đã pha chế và các loại màu đã pha chế, các chất men kính và men sứ, men sành (slips), các chất láng bóng dạng lỏng và các chế phẩm tương tự, loại dùng trong công nghiệp gốm sứ, tráng men hoặc thủy tinh; frit thủy tinh và thủy tinh khác, ở dạng bột, hạt hoặc vẩy",
32071000,"- Thuốc màu đã pha chế, chất cản quang đã pha chế, các loại màu đã pha chế và các chế phẩm tương tự",
320720,"- Men kính và men sứ, men sành (slips) và các chế phẩm tương tự:",
32072010,- - Frit men (phối liệu men) (SEN),
32072090,- - Loại khác,
32073000,- Các chất láng bóng dạng lỏng và các chế phẩm tương tự,
32074000,"- Frit thủy tinh và thủy tinh khác, ở dạng bột, hạt hoặc vẩy",
3208,"Sơn và vecni (kể cả men tráng (enamels) và dầu bóng) làm từ các loại polyme tổng hợp hoặc các polyme tự nhiên đã biến đổi về mặt hóa học, đã phân tán hoặc hòa tan trong môi trường không chứa nước; các dung dịch như đã ghi trong Chú giải 4 của Chương này",
320810,- Từ polyeste:,
#492,- - Vecni (kể cả dầu bóng):,
32081011,- - - Dùng trong nha khoa (SEN),
32081019,- - - Loại khác,
32081020,- - Sơn chống hà và/hoặc chống ăn mòn dùng để sơn vỏ tàu thủy (SEN),
32081090,- - Loại khác,
320820,- Từ polyme acrylic hoặc polyme vinyl:,
32082040,- - Sơn chống hà và/hoặc chống ăn mòn dùng để sơn vỏ tàu thủy (SEN),
32082070,"- - Vecni (kể cả dầu bóng), loại dùng trong nha khoa (SEN)",
32082090,- - Loại khác,
320890,- Loại khác:,
#493,"- - Vecni (kể cả dầu bóng), loại chịu được nhiệt trên 100°C:",
32089011,- - - Dùng trong nha khoa (SEN),
32089019,- - - Loại khác,
#494,"- - Vecni (kể cả dầu bóng), loại chịu nhiệt không quá 100°C:",
32089021,- - - Dùng trong nha khoa (SEN),
32089029,- - - Loại khác,
32089030,- - Sơn chống hà và/hoặc chống ăn mòn dùng để sơn vỏ tàu thủy (SEN),
32089090,- - Loại khác,
3209,"Sơn và vecni (kể cả các loại men tráng (enamels) và dầu bóng) làm từ các loại polyme tổng hợp hoặc các polyme tự nhiên đã biến đổi về mặt hóa học, đã phân tán hoặc hòa tan trong môi trường nước",
320910,- Từ polyme acrylic hoặc polyme vinyl:,
32091010,- - Vecni (kể cả dầu bóng),
32091040, - - Sơn cho da thuộc (SEN),
32091050,- - Sơn chống hà và/hoặc chống ăn mòn dùng để sơn vỏ tàu thủy (SEN),
32091090,- - Loại khác,
32099000,- Loại khác,
3210,"Sơn và vecni khác (kể cả các loại men tráng (enamels), dầu bóng và màu keo); các loại thuốc màu nước đã pha chế dùng để hoàn thiện da",
32100010,- Vecni (kể cả dầu bóng),
32100020,-  Màu keo,
32100030,- Thuốc màu nước đã pha chế dùng để hoàn thiện da,
#495,- Loại khác:,
32100091,- - Sơn chống hà và/hoặc chống ăn mòn dùng để sơn vỏ tàu thủy (SEN),
32100099,- - Loại khác,
32110000,Chất làm khô đã điều chế,
3212,"Thuốc màu (pigments) (kể cả bột và vẩy kim loại) được phân tán trong môi trường không có nước, ở dạng lỏng hoặc dạng nhão, dùng để sản xuất sơn (kể cả men tráng); lá phôi dập; thuốc nhuộm và các chất màu khác đã làm thành dạng nhất định hoặc đã đóng gói để bán lẻ",
32121000,- Lá phôi dập,
321290,- Loại khác:,
#496,"- - Thuốc màu (kể cả bột và vẩy kim loại) được phân tán trong môi trường không có nước, dạng lỏng hoặc dạng nhão, dùng để sản xuất sơn (kể cả men tráng):",
32129011,- - - Bột nhão nhôm,
32129013,- - - Loại chì trắng phân tán trong dầu,
32129014,"- - - Loại khác, để sản xuất sơn cho da thuộc",
32129019,- - - Loại khác,
#497,- - Thuốc nhuộm và chất màu khác đã làm thành dạng nhất định hoặc đóng gói để bán lẻ:,
32129021,- - - Loại sử dụng trong công nghiệp thực phẩm hoặc đồ uống,
32129022,- - - Thuốc nhuộm khác,
32129029,- - - Loại khác,
3213,"Chất màu dùng cho nghệ thuật hội họa, học đường hoặc sơn bảng hiệu, chất màu pha (modifying tints), màu trang trí và các loại màu tương tự, ở dạng viên, tuýp, hộp, lọ, khay hoặc các dạng hoặc đóng gói tương tự",
32131000,- Bộ màu vẽ,
32139000,- Loại khác,
3214,"Ma tít để gắn kính, để ghép nối, các chất gắn nhựa (resin cements), các hợp chất dùng để trát, gắn và các loại ma tít khác; các chất bả bề mặt trước khi sơn; các vật liệu phủ bề mặt không chịu nhiệt, dùng để phủ bề mặt chính nhà, tường trong nhà, sàn, trần nhà hoặc tương tự",
32141000,"- Ma tít để gắn kính, ma tít để ghép nối, các chất gắn nhựa (resin cements), các hợp chất dùng để trát, gắn và các loại ma tít khác; chất bả bề mặt trước khi sơn",
32149000,- Loại khác,
3215,"Mực in, mực viết hoặc mực vẽ và các loại mực khác, đã hoặc chưa cô đặc hoặc làm thành thể rắn",
#498,- Mực in:,
321511,- - Màu đen:,
32151110,- - - Mực in được làm khô bằng tia cực tím (SEN),
32151120,"- - - Mực thể rắn ở các hình dạng được thiết kế để đưa vào các thiết bị thuộc phân nhóm 8443.31, 8443.32 hoặc 8443.39 (SEN)",
32151190,- - - Loại khác,
321519,- - Loại khác:,
32151910,"- - - Mực thể rắn ở các hình dạng được thiết kế để đưa vào các thiết bị thuộc phân nhóm 8443.31, 8443.32 hoặc 8443.39 (SEN)",
32151990,- - - Loại khác,
321590,- Loại khác:,
32159010,- - Khối carbon loại dùng để sản xuất giấy than,
32159060,- - Mực vẽ hoặc mực viết,
32159070,- - Mực dùng cho máy nhân bản thuộc nhóm 84.72 (SEN),
32159090,- - Loại khác,
3301,"Tinh dầu (đã hoặc chưa khử terpen), kể cả tinh dầu sáp và tinh dầu nguyên chất; chất tựa nhựa; nhựa dầu đã chiết; tinh dầu cô đặc trong chất béo, trong các loại dầu không bay hơi, trong các loại sáp hoặc các chất tương tự, thu được bằng phương pháp tách hương liệu hoặc ngâm tẩm; sản phẩm phụ terpen từ quá trình khử terpen các loại tinh dầu; nước cất tinh dầu và dung dịch nước của các loại tinh dầu",
#499,- Tinh dầu của các loại quả chi cam quýt:,
33011200,- - Của cam,"Chất chiết xuất từ dược liệu, tinh dầu làm thuốc (48/2018/TT-BYT - PL2)"
33011300,- - Của chanh,"Chất chiết xuất từ dược liệu, tinh dầu làm thuốc (48/2018/TT-BYT - PL2)"
33011900,- - Loại khác,
#500,- Tinh dầu khác trừ tinh dầu của các loại quả chi cam quýt:,
33012400,- - Của cây bạc hà cay (Mantha piperita),"Chất chiết xuất từ dược liệu, tinh dầu làm thuốc (48/2018/TT-BYT - PL2)"
33012500,- - Của cây bạc hà khác,"Chất chiết xuất từ dược liệu, tinh dầu làm thuốc (48/2018/TT-BYT - PL2)"
330129,- - Loại khác:,
33012920,- - - Của cây đàn hương,"Chất chiết xuất từ dược liệu, tinh dầu làm thuốc (48/2018/TT-BYT - PL2)"
33012930,- - - Của cây sả (citronella) (SEN),"Chất chiết xuất từ dược liệu, tinh dầu làm thuốc (48/2018/TT-BYT - PL2)"
33012940,- - - Của cây nhục đậu khấu (nutmeg),"Chất chiết xuất từ dược liệu, tinh dầu làm thuốc (48/2018/TT-BYT - PL2)"
33012950,- - - Của cây đinh hương (clove),"Chất chiết xuất từ dược liệu, tinh dầu làm thuốc (48/2018/TT-BYT - PL2)"
33012960,- - - Của cây hoắc hương (parchouli),"Chất chiết xuất từ dược liệu, tinh dầu làm thuốc (48/2018/TT-BYT - PL2)"
33012970,"- - - Của cây sả chanh (lemon grass), quế (cinnamon), gừng (ginger), bạch đậu khấu (cardamom) hoặc thì là (fennel)","Chất chiết xuất từ dược liệu, tinh dầu làm thuốc (48/2018/TT-BYT - PL2)"
33012990,- - - Loại khác,"Tinh dầu xá xị TNTX (41/2019/TT-BCT); Chất chiết xuất từ dược liệu, tinh dầu làm thuốc (48/2018/TT-BYT - PL2)"
33013000,- Chất tựa nhựa,
330190,- Loại khác:,
33019010,- - Nước cất và dung dịch nước của các loại tinh dầu phù hợp dùng để làm thuốc ,
33019020,- - Nhựa dầu đã chiết,
33019090,- - Loại khác,
3302,"Hỗn hợp các chất thơm và các hỗn hợp (kể cả dung dịch có cồn) với thành phần chủ yếu gồm một hoặc nhiều các chất thơm này, dùng làm nguyên liệu thô trong công nghiệp; các chế phẩm khác làm từ các chất thơm, dùng cho sản xuất đồ uống",
330210,- Loại dùng trong công nghiệp thực phẩm hoặc đồ uống:,
33021010,"- - Chế phẩm rượu thơm, loại dùng để sản xuất đồ uống có cồn, ở dạng lỏng",
33021020,"- - Chế phẩm rượu thơm, loại dùng để sản xuất đồ uống có cồn, ở dạng khác ",
33021030,"- - Loại khác, không chứa cồn",
33021090,- - Loại khác,
33029000,- Loại khác,
33030000,Nước hoa và nước thơm,
3304,"Mỹ phẩm hoặc các chế phẩm để trang điểm và các chế phẩm dưỡng da (trừ dược phẩm), kể cả các chế phẩm chống nắng hoặc bắt nắng; các chế phẩm dùng cho móng tay hoặc móng chân",
33041000,- Chế phẩm trang điểm môi,
33042000,- Chế phẩm trang điểm mắt,
33043000,- Chế phẩm dùng cho móng tay hoặc móng chân,
#501,- Loại khác:,
33049100,"- - Phấn, đã hoặc chưa nén",
330499,- - Loại khác:,
33049920,- - - Chế phẩm ngăn ngừa mụn trứng cá ,
33049930,- - - Kem và dung dịch (lotion) bôi mặt hoặc bôi da khác ,
33049990,- - - Loại khác,
3305,Chế phẩm dùng cho tóc,
330510,- Dầu gội đầu:,
33051010,- - Có tính chất chống nấm,
33051090,- - Loại khác,
33052000,- Chế phẩm uốn tóc hoặc làm duỗi tóc,
33053000,- Keo xịt tóc (hair lacquers),
33059000,- Loại khác,
3306,"Chế phẩm dùng cho vệ sinh răng hoặc miệng, kể cả bột và bột nhão làm chặt chân răng; chỉ tơ nha khoa làm sạch kẽ răng (dental floss), đã đóng gói để bán lẻ",
330610,- Sản phẩm đánh răng:,
33061010,- - Bột và bột nhão dùng ngừa bệnh cho răng (SEN),
33061090,- - Loại khác,
33062000,- Chỉ tơ nha khoa làm sạch kẽ răng (dental floss),
33069000,- Loại khác,
3307,"Các chế phẩm dùng trước, trong hoặc sau khi cạo, các chất khử mùi cơ thể, các chế phẩm dùng để tắm, chế phẩm làm rụng lông và các chế phẩm nước hoa, mỹ phẩm hoặc vệ sinh khác, chưa được chi tiết hoặc ghi ở nơi khác; các chất khử mùi phòng đã được pha chế, có hoặc không có mùi thơm hoặc có đặc tính khử trùng",
33071000,"- Các chế phẩm dùng trước, trong hoặc sau khi cạo",
33072000,- Chất khử mùi cá nhân và chất chống ra nhiều mồ hôi,
33073000,- Muối thơm dùng để tắm và các chế phẩm dùng để tắm khác,
#502,"- Các chế phẩm dùng để làm thơm hoặc khử mùi phòng, kể cả các chế phẩm có mùi thơm dùng trong nghi lễ tôn giáo:",
330741,"- - ""Nhang, hương"" và các chế phẩm có mùi thơm khi đốt cháy:",
33074110,- - - Bột thơm (hương) sử dụng trong nghi lễ tôn giáo,
33074190,- - - Loại khác,
330749,- - Loại khác:,
33074910,"- - - Các chế phẩm làm thơm phòng, có hoặc không có đặc tính khử trùng",
33074990,- - - Loại khác,
330790,- Loại khác:,
33079010,- - Chế phẩm vệ sinh động vật,
33079030,"- - Khăn và giấy, đã được thấm hoặc phủ nước hoa hoặc mỹ phẩm ",
33079040,"- - Nước hoa hoặc mỹ phẩm khác, kể cả chế phẩm làm rụng lông",
33079050,- - Dung dịch dùng cho kính áp tròng hoặc mắt nhân tạo (SEN),
33079090,- - Loại khác,
3401,"Xà phòng; các sản phẩm và các chế phẩm hữu cơ hoạt động bề mặt dùng như xà phòng, ở dạng thanh, bánh, được nén thành miếng hoặc hình dạng nhất định, có hoặc không chứa xà phòng; các sản phẩm và các chế phẩm hữu cơ hoạt động bề mặt dùng để làm sạch da, ở dạng lỏng hoặc ở dạng kem và đã được đóng gói để bán lẻ, có hoặc không chứa xà phòng; giấy, mền xơ, nỉ và sản phẩm không dệt, đã thấm tẩm, tráng hoặc phủ xà phòng hoặc chất tẩy",
#503,"- Xà phòng và các sản phẩm và các chế phẩm hữu cơ hoạt động bề mặt, ở dạng thanh, bánh, được nén thành miếng hoặc hình dạng nhất định, và giấy, mền xơ, nỉ và sản phẩm không dệt, đã thấm tẩm, tráng hoặc phủ xà phòng hoặc chất tẩy:",
340111,- - Dùng cho vệ sinh (kể cả các sản phẩm đã tẩm thuốc):,
34011140,- - - Xà phòng đã tẩm thuốc kể cả xà phòng sát khuẩn,
34011150,- - - Xà phòng khác kể cả xà phòng tắm,
#504,"- - - Loại khác, bằng nỉ hoặc sản phẩm không dệt, đã được thấm tẩm, tráng hoặc phủ xà phòng hoặc chất tẩy:",
34011161,- - - - Bằng sản phẩm không dệt được đóng gói để bán lẻ,
34011169,- - - - Loại khác,
34011170,"- - - Loại khác, bằng giấy, đã được thấm tẩm, tráng hoặc phủ xà phòng hoặc chất tẩy ",
34011190,- - - Loại khác,
340119,- - Loại khác:,
34011910,"- - - Bằng nỉ hoặc sản phẩm không dệt, đã được thấm tẩm, tráng hoặc phủ xà phòng hoặc chất tẩy",
34011920,"- - - Bằng giấy, đã được thấm tẩm, tráng hoặc phủ xà phòng hoặc chất tẩy ",
34011990,- - - Loại khác,
340120,- Xà phòng ở dạng khác:,
34012020,- - Phôi xà phòng,
#505,- - Loại khác:,
34012091,"- - - Dùng để tẩy mực, khử mực giấy tái chế",
34012099,- - - Loại khác,
34013000,"- Các sản phẩm và chế phẩm hữu cơ hoạt động bề mặt dùng để làm sạch da, dạng lỏng hoặc dạng kem và đã được đóng gói để bán lẻ, có hoặc không chứa xà phòng",
3402,"Chất hữu cơ hoạt động bề mặt (trừ xà phòng); các chế phẩm hoạt động bề mặt, các chế phẩm dùng để giặt, rửa (kể cả các chế phẩm dùng để giặt, rửa phụ trợ) và các chế phẩm làm sạch, có hoặc không chứa xà phòng, trừ các loại thuộc nhóm 34.01",
#506,"- Các chất hữu cơ hoạt động bề mặt dạng anion, đã hoặc chưa đóng gói để bán lẻ:",
340231,- - Các axit alkylbenzen sulphonic cấu trúc thẳng và muối của chúng:,
34023110,- - - Alkylbenzen đã sulphonat hóa (SEN),
34023190,- - - Loại khác,
340239,- - Loại khác:,
34023910,- - - Cồn béo đã sulphat hóa (SEN),
34023990,- - - Loại khác,
#507,"- Các chất hữu cơ hoạt động bề mặt khác, đã hoặc chưa đóng gói để bán lẻ:",
34024100,- - Dạng cation,
340242,- - Dạng không phân ly (non - ionic):,
34024210,- - - Hydroxyl-terminated polybutadiene,
34024290,- - - Loại khác,
340249,- - Loại khác:,
34024910,- - - Loại thích hợp để sử dụng trong các chế phẩm chữa cháy,
34024990,- - - Loại khác,
340250,- Chế phẩm đã đóng gói để bán lẻ:,
#508,- - Dạng lỏng:,
34025011,- - - Chế phẩm hoạt động bề mặt,
34025012,"- - - Chế phẩm giặt, rửa hoặc chế phẩm làm sạch dạng anion, kể cả các chế phẩm tẩy trắng, làm sạch hoặc tẩy nhờn",
34025019,- - - Loại khác,
#509,- - Loại khác:,
34025091,- - - Chế phẩm hoạt động bề mặt,
34025092,"- - - Chế phẩm giặt, rửa hoặc chế phẩm làm sạch dạng anion, kể cả các chế phẩm tẩy trắng, làm sạch hoặc tẩy nhờn",
34025099,- - - Loại khác,
340290,- Loại khác:,
#510,- - Dạng lỏng:,
34029011,- - - Tác nhân thấm ướt dạng anion,
34029012,"- - - Chế phẩm giặt, rửa hoặc chế phẩm làm sạch dạng anion, kể cả các chế phẩm tẩy trắng, làm sạch hoặc tẩy nhờn",
34029013,"- - - Chế phẩm giặt, rửa hoặc chế phẩm làm sạch khác, kể cả các chế phẩm tẩy trắng, làm sạch hoặc tẩy nhờn",
34029014,- - - Chế phẩm hoạt động bề mặt dạng anion khác,
34029019,- - - Loại khác,
#511,- - Loại khác:,
34029091,- - - Tác nhân thấm ướt dạng anion,
34029092,"- - - Chế phẩm giặt, rửa hoặc chế phẩm làm sạch dạng anion, kể cả các chế phẩm tẩy trắng, làm sạch hoặc tẩy nhờn",
34029093,"- - - Chế phẩm giặt, rửa hoặc chế phẩm làm sạch khác, kể cả các chế phẩm tẩy trắng, làm sạch hoặc tẩy nhờn",
34029094,- - - Chế phẩm hoạt động bề mặt dạng anion khác,
34029099,- - - Loại khác,
3403,"Các chế phẩm bôi trơn (kể cả các chế phẩm dầu cắt, các chế phẩm dùng cho việc tháo bu lông hoặc đai ốc, các chế phẩm chống gỉ hoặc chống mài mòn và các chế phẩm dùng cho việc tách khuôn đúc, có thành phần cơ bản là dầu bôi trơn) và các chế phẩm dùng để xử lý bằng dầu hoặc mỡ cho các vật liệu dệt, da thuộc, da lông hoặc các vật liệu khác, nhưng trừ các chế phẩm có thành phần cơ bản chứa từ 70% trở lên tính theo trọng lượng là dầu có nguồn gốc từ dầu mỏ hoặc các loại dầu thu được từ khoáng bi-tum",
#512,- Có chứa các loại dầu có nguồn gốc từ dầu mỏ hoặc dầu thu được từ khoáng bi-tum:,
340311,"- - Chế phẩm dùng để xử lý các vật liệu dệt, da thuộc, da lông hoặc các vật liệu khác:",
#513,- - - Dạng lỏng:,
34031111,- - - - Chế phẩm dầu bôi trơn,
34031119,- - - - Loại khác,
34031190,- - - Loại khác,
340319,- - Loại khác:,
#514,- - - Dạng lỏng:,
34031911,- - - - Chế phẩm dùng cho động cơ của phương tiện bay,
34031912,- - - - Chế phẩm khác chứa dầu silicon,
34031919,- - - - Loại khác,
34031990,- - - Loại khác,
#515,- Loại khác:,
340391,"- - Chế phẩm dùng để xử lý các vật liệu dệt, da thuộc, da lông hoặc các vật liệu khác:",
#516,- - - Dạng lỏng:,
34039111,- - - - Chế phẩm chứa dầu silicon,
34039119,- - - - Loại khác,
34039190,- - - Loại khác,
340399,- - Loại khác:,
#517,- - - Dạng lỏng:,
34039911,- - - - Chế phẩm dùng cho động cơ của phương tiện bay,
34039912,- - - - Chế phẩm khác chứa dầu silicon,
34039919,- - - - Loại khác,
34039990,- - - Loại khác,
3404,Sáp nhân tạo và sáp đã được chế biến,
34042000,- Từ poly(oxyetylen) (polyetylen glycol),
340490,- Loại khác:,
34049010,- - Của than non đã biến đổi hóa học,
34049090,- - Loại khác,
3405,"Chất đánh bóng và các loại kem, dùng cho giày dép, đồ nội thất, sàn nhà, thân xe (coachwork), kính hoặc kim loại, các loại bột nhão và bột khô để cọ rửa và chế phẩm tương tự (có hoặc không ở dạng giấy, mền xơ, nỉ, tấm không dệt, plastic xốp hoặc cao su xốp, đã được thấm tẩm, tráng hoặc phủ bằng các chế phẩm trên), trừ các loại sáp thuộc nhóm 34.04",
34051000,"- Chất đánh bóng, kem và các chế phẩm tương tự dùng cho giày dép hoặc da thuộc",
34052000,"- Chất đánh bóng, kem và các chế phẩm tương tự dùng để bảo quản đồ nội thất bằng gỗ, sàn gỗ hoặc các hàng hóa khác bằng gỗ",
34053000,"- Chất đánh bóng và các chế phẩm tương tự dùng để đánh bóng thân xe (coachwork), trừ các chất đánh bóng kim loại",
34054000, - Bột nhão và bột khô để cọ rửa và các chế phẩm cọ rửa khác,
340590,- Loại khác:,
34059010,- - Chất đánh bóng kim loại,
34059090,- - Loại khác,
34060000,"Nến, nến cây và các loại tương tự",
3407,"Bột nhão dùng để làm hình mẫu, kể cả đất nặn dùng cho trẻ em; các chế phẩm được coi như ""sáp dùng trong nha khoa"" hoặc như ""các hợp chất tạo khuôn răng"", đã đóng gói thành bộ để bán lẻ hoặc ở dạng phiến, dạng móng ngựa, dạng thanh hoặc các dạng tương tự; các chế phẩm khác dùng trong nha khoa, với thành phần cơ bản là thạch cao plaster (thạch cao nung hoặc canxi sulphat nung)",
34070010,"- Bột nhão dùng để làm hình mẫu, kể cả đất nặn dùng cho trẻ em",
34070020,"- Các chế phẩm được coi như ""sáp dùng trong nha khoa"" hoặc như ""hợp chất tạo khuôn răng"", đã đóng gói thành bộ để bán lẻ hoặc ở dạng phiến, dạng móng ngựa, dạng thanh hoặc các dạng tương tự ",
34070030,- Chế phẩm khác dùng trong nha khoa có thành phần cơ bản là thạch cao plaster (thạch cao nung hoặc canxi sulphat nung),
3501,"Casein, các muối của casein và các dẫn xuất casein khác; keo casein",
35011000,- Casein,
350190,- Loại khác:,
35019010,- - Các muối của casein và các dẫn xuất casein khác,
35019020,- - Keo casein,
3502,"Albumin (kể cả các chất cô đặc của hai hoặc nhiều whey protein, chứa trên 80% whey protein tính theo trọng lượng khô), các muối của albumin và các dẫn xuất albumin khác",
#518,- Albumin trứng:,
35021100,- - Đã làm khô,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
35021900,- - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
35022000,"- Albumin sữa, kể cả các chất cô đặc của hai hoặc nhiều whey protein","Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
35029000,- Loại khác,
3503,"Gelatin (kể cả gelatin ở dạng tấm hình chữ nhật (kể cả hình vuông), đã hoặc chưa gia công bề mặt hoặc tạo màu) và các dẫn xuất gelatin; keo điều chế từ bong bóng cá; các loại keo khác có nguồn gốc động vật, trừ keo casein thuộc nhóm 35.01",
#519,- Gelatin và các dẫn xuất gelatin:,
35030041,- - Dạng bột có độ trương nở từ A-250 hoặc B-230 trở lên theo hệ thống thang đo Bloom (SEN),
35030049,- - Loại khác,
35030050,- Loại điều chế từ bong bóng cá (Isinglass),
#520,- Các loại keo khác có nguồn gốc động vật:,
35030061,- - Các loại keo có nguồn gốc từ cá,
35030069,- - Loại khác,
