HS code,Mô tả sản phẩm
72173011,"- - - Phủ, mạ hoặc tráng thiếc"
72173020,"- - Có hàm lượng carbon từ 0,25% đến dưới 0,6% tính theo khối lượng"
72173033,- - - Dây thép phủ đồng thau dùng trong sản xuất lốp cao su loại bơm hơi (dây tanh)
72173034,- - - Dây thép phủ hợp kim đồng loại khác dùng để làm lốp cao su loại bơm hơi (dây tanh)
72173035,"- - - Loại khác, phủ, mạ hoặc tráng thiếc"
7218,Thép không gỉ ở dạng thỏi đúc hoặc dạng thô khác; bán thành phẩm của thép không gỉ
72181000,- Ở dạng thỏi đúc và dạng thô khác
72189100,- - Có mặt cắt ngang hình chữ nhật (trừ hình vuông)
7219,"Các sản phẩm của thép không gỉ cán phẳng, có chiều rộng từ 600 mm trở lên"
72191400,- - Chiều dày dưới 3 mm
72193300,- - Chiều dày trên 1 mm đến dưới 3 mm
72193400,"- - Chiều dày từ 0,5 mm đến 1 mm"
72193500,"- - Chiều dày dưới 0,5 mm"
7220,"Các sản phẩm thép không gỉ được cán phẳng, có chiều rộng dưới 600 mm"
722011,"- - Chiều dày từ 4,75 mm trở lên:"
722012,"- - Chiều dày dưới 4,75 mm:"
72210000,"Thanh và que thép không gỉ được cán nóng, dạng cuộn cuốn không đều"
7222,"Thép không gỉ dạng thanh và que khác; thép không gỉ ở dạng góc, khuôn và hình khác"
722220,"- Dạng thanh và que, chưa được gia công quá mức tạo hình nguội hoặc gia công kết thúc nguội:"
722230,- Các thanh và que khác:
72223010,"NPL153#&Thép không gỉ dạng cây tròn , STS303F, 10.0xL2520, STAINLESS STEEL, ZALDA150808 || NPL153#&Thép không gỉ dạng cây tròn , STS303F, 21.0xL2520, ZALDA151359 || NPL153#&Thép không gỉ dạng cây tròn , STS303F, 23.0xL2520, ZALDA150746 || NPL153#&Thép không gỉ dạng cây tròn , STS303F, 15.0xL2520, STAINLESS STEEL, ZALDA151121 || NPL153#&Thép không gỉ dạng cây tròn , STS303F, 9.0xL2520, STAINLESS STEEL, ZALDA150766 || NPL153#&Thép không gỉ dạng cây tròn , STS303F, 5.0xL2500, STAINLESS STEEL, ZALDA151287 || NPL153  #&Thép không gỉ dạng cây tròn, STS303F, phi10.0xL2520, STAINLESS STEEL, ZALDA150808 || NPL153#&Thép không gỉ dạng cây tròn, STS303F, phi19.0xL2520, STAINLESS STEEL, ZALDA150745 || NPL153#&Thép không gỉ dạng cây tròn, STS303F, phi23.0xL2520, STAINLESS STEEL, ZALDA150746 || NPL153#&Thép không gỉ dạng cây tròn, STS303F, phi21.0xL2520, STAINLESS STEEL, ZALDA151359 || NPL153#&Thép không gỉ dạng cây tròn, STS303F, phi16.0xL2520, STAINLESS STEEL, ZALDA150726 || NPL153#&Thép không gỉ dạng cây tròn, STS303F, phi6.0xL2520, STAINLESS STEEL, ZALDA150738 || NPL153#&Thép không gỉ dạng cây tròn, STS316LF, phi6.0xL2520, STAINLESS STEEL, ZALDA150906 || NPL153#&Thép không gỉ dạng cây tròn, STS303F, phi17.0xL2520, STAINLESS STEEL, ZALDA151439 || NPL153#&Thép không gỉ dạng cây tròn, STS303F, phi18.0xL2520, STAINLESS STEEL, ZALDA151122 || NPL153#&Thép không gỉ dạng cây tròn, STS303F, phi23.0xL2520, ZALDA150746 || NPL153#&Thép không gỉ dạng cây tròn , STS303F, phi7.0xL2520, STAINLESS STEEL, ZALDA150764 || NPL153#&Thép không gỉ dạng cây tròn , STS303F, phi9.0xL2520, STAINLESS STEEL, ZALDA150766 || NPL153#&Thép không gỉ dạng cây tròn , STS303F, phi10.0xL2520, STAINLESS STEEL, ZALDA150808 || NPL153#&Thép không gỉ dạng cây tròn , STS304, 12.0xL2520, ZALDA151428 || NPL153#&Thép không gỉ dạng cây tròn , STS303F, phi8.0xL2520, STAINLESS STEEL, ZALDA150765 || NPL153#&Thép không gỉ dạng cây tròn , STS316LF, phi6.0xL2520, ZALDA150906 || .#&Que hàn G308 - 3.2mm, (đơn giá 144.636,33 VNĐ/KGM), hàng mới 100%"
72223090,"NPL208#&Thép không gỉ dạng cây (có mặt cắt ngang hình lục giác), STS304, H21.0(HEXA)xL2520, ZALDA151409 || NPL208#&Thép không gỉ dạng cây (có mặt cắt ngang hình lục giác), STS303C, H6.0(HEXA)xL2500, ZALDA151072 || NPL208#&Thép không gỉ dạng cây (có mặt cắt ngang hình lục giác), STS304, H12.7(HEXA)xL2000, ZALDA151440"
722240,"- Các dạng góc, khuôn và hình:"
72224010,"- - Chưa được gia công quá mức cán nóng, kéo nóng hoặc ép đùn qua khuôn"
7223,Dây thép không gỉ
72230010,- Có mặt cắt ngang trên 13 mm
7224,Thép hợp kim khác ở dạng thỏi đúc hoặc dạng thô khác; các bán thành phẩm bằng thép hợp kim khác
7225,"Thép hợp kim khác được cán phẳng, có chiều rộng từ 600 mm trở lên"
72251100,- - Các hạt (cấu trúc tế vi) kết tinh có định hướng
722530,"- Loại khác, chưa được gia công quá mức cán nóng, ở dạng cuộn:"
72253010,- - Thép gió
722540,"- Loại khác, chưa được gia công quá mức cán nóng, không ở dạng cuộn:"
72254090,.#&Thép tấm 2.3x1250x2440mm. Hàng mới 100% || .#&Thép tấm 9.0x1250x2440mm. Hàng mới 100%
722550,"- Loại khác, chưa được gia công quá mức cán nguội (ép nguội):"
722591,"- - Được phủ, mạ hoặc tráng kẽm bằng phương pháp điện phân:"
72259110,- - - Thép gió
722592,"- - Được phủ, mạ hoặc tráng kẽm bằng phương pháp khác:"
72259220,"- - - Loại khác, được phủ, mạ hoặc tráng bằng hợp kim kẽm - nhôm - magiê"
7226,"Sản phẩm của thép hợp kim khác được cán phẳng, có chiều rộng dưới 600 mm"
722611,- - Các hạt tinh thể (cấu trúc tế vi) có định hướng:
722620,- Bằng thép gió:
722691,- - Chưa được gia công quá mức cán nóng:
722692,- - Chưa được gia công quá mức cán nguội (ép nguội):
72269911,"- - - - Được phủ, mạ hoặc tráng kẽm"
72269919,"NL28#&Thép hợp kim dạng cuộn, STS304 3/4H 1.8Tx260xC / POSCO, 3/4H 1.8T(1.8~1.85), AOLDK140002 || NL28#&Thép hợp kim dạng cuộn, POSCO, 3/4H 1.8T(1.8~1.85) / STS304 3/4H 1.8Tx260xC,  AOLDK140002 || .#&Thép không gỉ hợp kim dạng miếng kích thước: 100*40*1.5mm, SUS PLATE || NL28#&Thép hợp kim dạng cuộn, STS304 3/4H 1.8Tx260xC / POSCO, 3/4H 1.8T(1.8~1.85),  AOLDK140002"
7227,"Các dạng thanh và que, của thép hợp kim khác, được cán nóng, dạng cuộn không đều"
72271000,- Bằng thép gió
72272000,- Bằng thép mangan - silic
72279010,"- - Có hàm lượng crôm từ 0,5% trở lên tính theo khối lượng"
7228,"Các dạng thanh và que khác bằng thép hợp kim khác; các dạng góc, khuôn và hình, bằng thép hợp kim khác; thanh và que rỗng, bằng thép hợp kim hoặc không hợp kim"
722810,"- Ở dạng thanh và que, bằng thép gió:"
722820,"- Ở dạng thanh và que, bằng thép silic-mangan:"
72282011,"- - - Chưa được gia công quá mức cán nóng, kéo nóng hoặc ép đùn qua khuôn"
722830,"- Dạng thanh và que khác, chưa được gia công quá mức cán nóng, kéo nóng hoặc ép đùn:"
722840,"- Các loại thanh và que khác, chưa được gia công quá mức rèn:"
722850,"- Các loại thanh và que khác, chưa được gia công quá mức tạo hình nguội hoặc gia công kết thúc nguội:"
72286010,"NPL195#&Thép hợp kim dạng cây tròn, SUM24L, 12.0xL2520, FREE CUTTING STELL, ZALDA150700 || NPL195#&Thép hợp kim dạng cây tròn, SUM24L, phi12.0xL2520, FREE CUTTING STELL, ZALDA150700 || .#&Thép Tròn D45x80mm. Hàng mới 100%"
72287090,.#&Thép tròn SKD61 kích thước: D40 x 1000 mm (loại hợp kim). Hàng mới 100% || .#&Thép tròn SKD61 kích thước: D22 x 1000 mm (loại hợp kim). Hàng mới 100% || .#&Thép tròn SKD61 D101 x 40 mm (loại hợp kim). Hàng mới 100% || .#&Thép tròn SKD61 D101 x 220 mm (loại hợp kim). Hàng mới 100% || .#&Thép tròn SKD61 D61 x 100 mm (loại hợp kim). Hàng mới 100% || .#&Thép tròn SKD61 D71 x 220 mm (loại hợp kim). Hàng mới 100%
722880,- Thanh và que rỗng:
7229,Dây thép hợp kim khác
72299021,"- - - Có hàm lượng crôm từ 0,5% trở lên tính theo khối lượng"
72299030,"- - Loại khác, bằng thép gió"
7301,"Cọc cừ (sheet piling) bằng sắt hoặc thép, đã hoặc chưa khoan lỗ, đục lỗ hoặc ghép từ các bộ phận lắp ráp; sắt hoặc thép, ở dạng góc, khuôn và dạng hình, đã được hàn"
73011000,- Cọc cừ
73012000,"- Dạng góc, khuôn và hình"
7302,"Vật liệu xây dựng đường ray đường sắt hoặc đường ray tàu điện bằng sắt hoặc thép, như: ray, ray dẫn hướng và ray có răng, lưỡi ghi, ghi chéo, cần bẻ ghi và các đoạn nối chéo khác, tà vẹt (dầm ngang), thanh nối ray, gối ray, tấm đệm ray, tấm đế (đế ray), thanh chống xô, bệ đỡ (bedplate), tà vẹt và vật liệu chuyên dùng khác cho việc ghép hoặc định vị đường ray"
73021000,- Ray
73023000,"- Lưỡi ghi, ghi chéo, cần bẻ ghi và các đoạn nối chéo khác"
73024000,- Thanh nối ray và tấm đế
73029010,- - Tà vẹt (dầm ngang)
7303,"Các loại ống, ống dẫn và thanh hình rỗng, bằng gang đúc"
73030011,- - Ống và ống dẫn không có đầu nối (SEN)
73030091,- - Với đường kính ngoài không quá 100 mm
7304,"Các loại ống, ống dẫn và thanh hình rỗng, không nối, bằng sắt (trừ gang đúc) hoặc thép"
730422,- - Ống khoan bằng thép không gỉ:
73042210,- - - Có giới hạn chảy(1) dưới 80.000 psi và không có ren ở đầu ống
730423,- - Ống khoan khác:
730424,"- - Loại khác, bằng thép không gỉ:"
73042410,- - - Ống chống và ống có giới hạn chảy(1) dưới 80.000 psi và không có ren ở đầu ống
73042420,- - - Ống chống và ống có giới hạn chảy(1) dưới 80.000 psi và có ren ở đầu ống
73042430,"- - - Ống chống và ống có giới hạn chảy(1) từ 80.000 psi trở lên, có hoặc không có ren ở đầu ống"
730431,- - Được kéo nguội hoặc cán nguội (ép nguội):
73043110,- - - Ống chống và ống nối của cần khoan có ren trong và ren ngoài (SEN)
73043120,- - - Ống dẫn chịu áp lực cao có khả năng chịu áp lực không nhỏ hơn 42.000 psi
73043140,"- - - Loại khác, có đường kính ngoài dưới 140 mm và hàm lượng carbon dưới 0,45% tính theo khối lượng"
73044100,- - Được kéo nguội hoặc cán nguội (ép nguội)
73045120,- - - Ống dẫn chịu áp lực cao có giới hạn chảy (1) không nhỏ hơn 42.000 psi
73049010,- - Ống dẫn chịu áp lực cao có giới hạn chảy (1) không nhỏ hơn 42.000 psi
73049030,"- - Loại khác, có đường kính ngoài dưới 140 mm và hàm lượng carbon dưới 0,45% tính theo khối lượng"
73049090,.#&Ống con sâu phi 6 ren 1/4 L300mm
7305,"Các loại ống và ống dẫn khác bằng sắt hoặc thép (ví dụ, được hàn, tán bằng đinh hoặc ghép với nhau bằng cách tương tự), có mặt cắt ngang hình tròn, đường kính ngoài trên 406,4 mm"
73051100,- - Hàn chìm theo chiều dọc bằng hồ quang
730512,"- - Loại khác, hàn theo chiều dọc:"
73051210,- - - Hàn điện trở (ERW)
73051910,- - - Hàn chìm xoắn hoặc xoắn ốc bằng hồ quang 
73052000,- Ống chống sử dụng trong khoan dầu hoặc khí
730531,- - Hàn theo chiều dọc:
73053110,- - - Ống và ống dẫn bằng thép không gỉ
7306,"Các loại ống, ống dẫn và thanh hình rỗng khác, bằng sắt hoặc thép (ví dụ, nối hở hoặc hàn, tán đinh hoặc ghép bằng cách tương tự)"
730611,"- - Hàn, bằng thép không gỉ:"
73061110,- - - Hàn điện trở theo chiều dọc (ERW)
73062100,"- - Hàn, bằng thép không gỉ"
730630,"- Loại khác, được hàn, có mặt cắt ngang hình tròn, bằng sắt hoặc thép không hợp kim:"
73063011,"- - - Với đường kính ngoài dưới 12,5 mm"
73063030,"- - Ống loại được sử dụng làm ống bọc (ống nhiệt) dùng cho các bộ phận phát nhiệt của bàn là điện phẳng hoặc nồi cơm điện, có đường kính ngoài không quá 12 mm"
73063091,"- - - Với đường kính trong từ 12,5 mm trở lên, đường kính ngoài dưới 140 mm và hàm lượng carbon dưới 0,45% tính theo khối lượng"
73063092,"- - - Với đường kính trong dưới 12,5 mm "
73063099,".#&Ống thép đen ( loại hàn kích thước 25.4 x 2.0 x 6000mm, hàng mới 100% || .#&Ống thép đen ( loại hàn kích thước 26.65 x 1.4 x 6000mm, hàng mới 100% || .#&Ống thép đen ( loại hàn kích thước 31.8 x 1.8 x 6000mm, hàng mới 100%"
730640,"- Loại khác, được hàn, có mặt cắt ngang hình tròn, bằng thép không gỉ:"
73064011,"- - - Với đường kính ngoài không quá 12,5 mm"
73064020,"- - Ống và ống dẫn bằng thép không gỉ, có đường kính ngoài trên 105 mm"
73064030,"- - Ống và ống dẫn có chứa hàm lượng niken ít nhất là 30% tính theo khối lượng, với đường kính ngoài không quá 10 mm"
730650,"- Loại khác, được hàn, có mặt cắt ngang hình tròn, bằng thép hợp kim khác:"
73065091,".#&Ống mềm không bảo ôn bằng bạt mềm, kích thước D90mm, hàng mới 100%"
73065099,".#&Ống gió tròn xoắn bằng tôn mạ kẽm độ dày 0.58mm, kích thước D125mm, hàng mới 100%"
730661,- - Mặt cắt ngang hình vuông hoặc hình chữ nhật:
73066110,"- - - Có đường chéo ngoài của mặt cắt ngang dưới 12,5 mm"
73066190,".#&Hộp thép đen ( loại hàn kích thước 30 x 30 x 1.4 x 6000mm, hàng mới 100% || .#&Hộp thép đen ( loại hàn kích thước 40 x 40 x 2.0 x 6000mm, hàng mới 100% || .#&Hộp thép đen ( loại hàn kích thước 40 x 40 x 3.0 x 6000mm, hàng mới 100% || .#&Hộp thép đen ( loại hàn kích thước 40 x 40 x 1.4 x 6000mm, hàng mới 100% || .#&Hộp thép đen ( loại hàn kích thước 40 x 40 x 2.3 x 6000mm, hàng mới 100% || .#&Hộp thép đen ( loại hàn kích thước 50 x 50 x 1.4 x 6000mm, hàng mới 100%"
730669,"- - Loại khác, có mặt cắt ngang không phải là hình tròn:"
73069091,"- - - Ống dẫn chịu áp lực cao có giới hạn chảy (1) không nhỏ hơn 42.000 psi, đường kính trong nhỏ hơn 12,5 mm"
73069094,"- - - Các loại ống dẫn chịu áp lực cao khác, có đường kính ngoài nhỏ hơn 12,5 mm"
73069095,"- - - Các loại ống dẫn chịu áp lực cao khác, có đường kính ngoài từ 12,5 mm trở lên"
73069096,"- - - Loại khác, có đường chéo ngoài của mặt cắt ngang dưới 12,5 mm"
73069097,"- - - Loại khác, có đường kính trong trên 12,5 mm, đường kính ngoài nhỏ hơn 140 mm và chứa dưới 0,45% carbon tính theo khối lượng"
73069099,"Ống dẫn nước làm mát khuôn bằng thép dùng cho máy đúc, COOLING NIPPLE 1/8*250, 5043-025900 || Ống dẫn nước làm mát khuôn bằng thép dùng cho máy đúc , COOLING NIPPLE 1/4*300, 5043-028800"
7307,"Phụ kiện ghép nối cho ống hoặc ống dẫn (ví dụ, khớp nối đôi, khuỷu, măng sông), bằng sắt hoặc thép"
730711,- - Bằng gang đúc không dẻo:
73071110,- - - Phụ kiện của ống hoặc ống dẫn không có đầu nối (SEN)
730721,- - Mặt bích:
73072110,- - - Có đường kính trong dưới 15 cm
730722,"- - Ống khuỷu, khuỷu nối ống và măng sông, loại có ren để ghép nối:"
730723,- - Loại hàn giáp mối:
73072310,".#&Phụ kiện ống đồng (Co, lơi, nối) điều hòa không khí 98.000btu. Hàng mới 100% || .#&Phụ kiện ống đồng (Co, lơi, nối) điều hòa không khí 93.000BTU. Hàng mới 100%"
73079190,"Mặt bích bằng thép dùng cho máy phun bi , LINER BACK W-4452(1*2), 5040-023000 || Mặt bích bằng thép dùng cho máy phun bi, LINER UPPER W-3181, 5040-002000"
73079210,".#&Đầu nối loại thẳng, bằng thép, có ren, DN8, đường kính trong 8mm: 2H63/TP-M16X2/GA-G1/4'' + Đầu nối loại thẳng, bằng thép, có ren, DN8, đường kính trong 8mm: SD-M16x2-F-G1/4 , L=1m || .#&Đầu nối loại thẳng, bằng thép, có ren, DN8, đường kính trong 8mm: 2H63/TP-M16X2/GA-G1/4'' + Đầu nối loại thẳng, bằng thép, có ren, DN8, đường kính trong 8mm: SD-M16x2-F-G1/4, L=2m"
73079290,.#&Nối khí chữ L ren 6-02(13mm)
73079910,".#&Chân rẽ kèm van bằng tôn mạ kẽm độ dày 0.58mm, kích thước D125, hàng mới 100% || .#&Cút 90 độ bằng tôn mạ kẽm độ dày 0.58mm kích thước D125mm, hàng mới 100% || .#&Côn thu tròn đều bằng tôn mạ kẽm độ dày 0.58mm, kích thước D165mm thu về D125mm, hàng mới 100% || .#&Chân rẽ vuông tròn bằng tôn mạ kẽm độ dày 0.58mm, kích thước 150x200mm/D90mm, hàng mới 100%"
73079990,".#&Đầu nối ống thủy lực CT-01 PT1/8 (cút ống CT-01 PT1/8), đường kính 6mm, chất liệu bằng thép, nhà sản xuất: China, hàng mới 100% || .#&Đầu nối ống thủy lực chữ T TT-06 (cút chữ T TT-06), đường kính 6mm, chất liệu bằng thép, nhà sản xuất: China, hàng mới 100% || .#&Đầu nối ống thủy lực chữ thập TC-06 (cút chữ thập TC-06), đường kính 6mm, chất liệu bằng thép, nhà sản xuất: China, hàng mới 100%"
7308,"Các kết cấu (trừ nhà lắp ghép thuộc nhóm 94.06) và các bộ phận rời của các kết cấu (ví dụ, cầu và nhịp cầu, cửa cống, tháp, cột lưới, mái nhà, khung mái, cửa ra vào, cửa sổ, và các loại khung cửa, ngưỡng cửa ra vào, cửa chớp, lan can, cột trụ và các loại cột khác), bằng sắt hoặc thép; tấm, thanh, góc, khuôn, hình, ống và các loại tương tự, đã được gia công để dùng làm kết cấu, bằng sắt hoặc thép"
730810,- Cầu và nhịp cầu:
73081010,- - Dạng cấu kiện tiền chế được lắp ráp bằng các khớp nối (SEN)
730820,- Tháp và cột lưới (kết cấu giàn):
73082011,- - - Dạng cấu kiện tiền chế được lắp ráp bằng các khớp nối (SEN)
730830,"- Cửa ra vào, cửa sổ và các loại khung cửa và ngưỡng cửa ra vào:"
73083010,"- - Cửa ra vào, có độ dày từ 6 mm đến 8 mm"
730840,"- Thiết bị dùng cho giàn giáo, ván khuôn, vật chống hoặc cột trụ chống hầm lò:"
73089040,"- - Tấm hoặc lá mạ kẽm được làm lượn sóng và uốn cong dùng trong ống dẫn, cống ngầm hoặc đường hầm (SEN)"
73089050,- - Khung ray dùng để vận chuyển công-ten-nơ trên tàu thủy (SEN)
73089060,- - Máng đỡ cáp điện có lỗ (SEN)
73089092,- - - Lan can bảo vệ
73089099,".#&Panel vách trong, tấm panel bằng thép 2 mặt, giữa là bông thủy tinh nhân tạo, kích thước 1000*6900mm. Hàng mới 100% || .#&Đai ôm, tyren treo ống dùng trong lắp đặt điều hòa không khí (vật liệu thép sơn tĩnh điện mã kẽm). Hàng mới 100% || .#&Máng cáp kích thước 300x200x0,8mm (làm bằng thép sơn tĩnh điện mạ kẽm). Hàng mới 100% || .#&Nối máng kích thước rộng 200mm làm bằng thép sơn tĩnh điện mạ kẽm. Hàng mới 100% || .#&Ty ren, nở dùng để treo thanh đỡ máng (vật liệu thép sơn tĩnh điện mã kẽm). Hàng mới 100% || .#&Đầu ty cục nóng máy Chiller 250.000BTU (vật liệu thép sơn tĩnh điện mã kẽm). Hàng mới 100% || .#&Panel vách trong BTT 1000x5000mm: Tấm panel bằng thép 2 mặt, giữa là bông thủy tinh nhân tạo, kích thước 1000*5000mm. Hàng mới 100% || .#&Panel vách trong BTT 1000x3200mm: Tấm panel bằng thép 2 mặt, giữa là bông thủy tinh nhân tạo, kích thước 1000*3200mm. Hàng mới 100% || .#&Panel vách trong BTT 1000x2800mm: Tấm panel bằng thép 2 mặt, giữa là bông thủy tinh nhân tạo, kích thước 1000*2800mm. Hàng mới 100% || .#&Panel vách trong BTT 1000x2000mm: Tấm panel bằng thép 2 mặt, giữa là bông thủy tinh nhân tạo, kích thước 1000*2000mm. Hàng mới 100%"
7309,"Các loại bể chứa, két, bình chứa và các thùng chứa tương tự dùng để chứa mọi loại vật liệu (trừ khí nén hoặc khí hóa lỏng), bằng sắt hoặc thép, có dung tích trên 300 lít, đã hoặc chưa được lót hoặc được cách nhiệt, nhưng chưa được lắp ráp với thiết bị cơ khí hoặc thiết bị nhiệt"
73090011,- - Được lót hoặc được cách nhiệt
7310,"Các loại đồ chứa dạng két, thùng phuy, thùng hình trống, hình hộp, lon và các loại đồ chứa tương tự, dùng để chứa mọi loại vật liệu (trừ khí nén hoặc khí hóa lỏng), bằng sắt hoặc thép, dung tích không quá 300 lít, đã hoặc chưa được lót hoặc được cách nhiệt, nhưng chưa được ghép với thiết bị cơ khí hoặc thiết bị nhiệt"
731010,- Có dung tích từ 50 lít trở lên:
73101010,- - Được tráng thiếc
73101091,"- - - Được đúc, rèn hoặc dập, ở dạng thô"
731021,"- - Lon, hộp được đóng kín bằng cách hàn hoặc gấp nếp (vê mép):"
73102111,- - - - Được tráng thiếc
73102199,.#&Hộp Inox 304 (40*80mm). Hàng mới 100% || .#&Hộp Inox 304 (40*40mm). Hàng mới 100%
73102992,"- - - - Được đúc, rèn hoặc dập khác, ở dạng thô"
7311,"Các loại thùng chứa khí nén hoặc khí hóa lỏng, bằng sắt hoặc thép"
73110021,"- - Có dung tích từ 30 lít trở lên, nhưng dưới 110 lít, dùng để chứa khí tự nhiên nén (CNG) hoặc khí tự nhiên hóa lỏng (LNG) cho ô tô"
73110022,"- - Có dung tích từ 110 lít trở lên, dùng để chứa khí tự nhiên nén (CNG) hoặc khí tự nhiên hóa lỏng (LNG) cho ô tô"
73110023,"- - Có dung tích dưới 30 lít, dùng để chứa khí dầu mỏ hóa lỏng (LPG)"
73110024,"- - Có dung tích từ 30 lít trở lên nhưng dưới 110 lít, dùng để chứa khí dầu mỏ hóa lỏng (LPG)"
73110025,"- - Loại khác, dùng để chứa khí dầu mỏ hóa lỏng (LPG)"
73110026,"- - Loại khác, có dung tích dưới 30 lít"
73110027,"- - Loại khác, có dung tích từ 30 lít trở lên nhưng dưới 110 lít"
73110091,"- - Có dung tích không quá 7,3 lít"
73110092,"- - Có dung tích trên 7,3 lít nhưng dưới 30 lít"
73110094,- - Có dung tích từ 30 lít trở lên nhưng dưới 110 lít
7312,"Dây bện tao, thừng, cáp, băng tết, dây treo và các loại tương tự, bằng sắt hoặc thép, chưa cách điện"
731210,"- Dây bện tao, thừng và cáp:"
73121010,"- - Cuộn dây bện tao kiểu bọc, dây tao dẹt và dây cáp chống xoắn(1) (SEN)"
73121020,"- - Loại được phủ, mạ hoặc tráng bằng đồng thau và có đường kính không quá 3 mm"
73121030,"- - Được phủ, mạ hoặc tráng nhôm"
73121091,- - - Dây thép bện tao cho bê tông dự ứng lực
73121099,".#&Cáp tời CaBin D16mm, chất liệu bằng thép, dùng để nâng hạ cabin thang máy. Hàng mới 100%"
73129000,"NPL214#&Dây bi bằng thép không gỉ dùng cho ăng-ten thu phát sóng, BALL CAHIN BYCIBS-CN3.2-304 , APMDB210002 || NPL214#&Dây bi bằng thép không gỉ dùng cho ăng-ten thu phát sóng, CHAIN, BALL Q32009TB1 / 10CM / DP, ZALDB200115 || NPL214#&Dây bi bằng thép không gỉ dùng cho ăng-ten thu phát sóng, CHAIN, BALL / Q32009TB1 / 10CM / DP, ZALDB200115 || NPL214#&Dây bi bằng thép không gỉ dùng cho ăng-ten thu phát sóng, CHAIN, BALL, ZALDB200115 || NPL214#&Dây bi bằng thép không gỉ dùng cho ăng-ten thu phát sóng, BYCIBS-CN3.2-304 / BYCIBS-CP-304 ,L = 6, APMDB210002"
73130000,"Dây gai bằng sắt hoặc thép; dây đai xoắn hoặc dây đơn dẹt, có gai hoặc không có gai, và dây đôi xoắn, dùng làm hàng rào, bằng sắt hoặc thép"
7314,"Tấm đan (kể cả đai liền), phên, lưới và rào, làm bằng dây sắt hoặc thép; sản phẩm dạng lưới được tạo hình bằng phương pháp đột dập và kéo giãn thành lưới bằng sắt hoặc thép"
73141200,"- - Loại đai liền dùng cho máy móc, bằng thép không gỉ"
73141400,"- - Tấm đan dệt thoi khác, bằng thép không gỉ "
73141910,"- - - Đai liền dùng cho máy móc, trừ loại bằng thép không gỉ"
73142000,"- Phên, lưới và rào, được hàn ở mắt nối, bằng dây với kích thước mặt cắt ngang tối đa từ 3 mm trở lên và có cỡ mắt lưới từ 100 cm2 trở lên"
73143100,"- - Được phủ, mạ hoặc tráng kẽm"
73144200,- - Được phủ plastic
73145000,- Sản phẩm dạng lưới được tạo hình bằng phương pháp đột dập và kéo giãn thành lưới 
7315,"Xích và các bộ phận của xích, bằng sắt hoặc thép"
731511,- - Xích con lăn:
73151110,- - - Xích xe đạp hoặc xích xe mô tô
73151191,"- - - - Xích truyền, có độ dài mắt xích từ 6 mm đến 32 mm"
731512,- - Xích khác:
731519,- - Các bộ phận:
73152000,- Xích trượt
73158100,- - Nối bằng chốt có ren hai đầu
73158200,"- - Loại khác, ghép nối bằng mối hàn"
73158990,"NPL186#&Dây xích bằng sắt dùng treo đèn LED , STS304 CHAIN, BINER 2EA include 501mm, GX01LB0131A0 || NPL186#&Dây xích bằng sắt dùng treo đèn LED , + FALL PREVENTION WIRE G-1 TYPE, WOOSHIN, PXA0930100P0"
731590,- Các bộ phận khác:
73159020,- - Xích xe đạp hoặc xích xe mô tô
73160000,"Neo tàu (1), neo móc và các bộ phận của chúng, bằng sắt hoặc thép"
7317,"Đinh, đinh bấm, đinh ấn (đinh rệp), đinh gấp, ghim dập (trừ các sản phẩm thuộc nhóm 83.05) và các sản phẩm tương tự, bằng sắt hoặc thép, có hoặc không có đầu bằng vật liệu khác, nhưng trừ loại có đầu bằng đồng"
73170010,- Đinh dây
73170020,- Ghim dập
73170030,- Đinh giữ ray cho tà vẹt đường ray; bàn chông
73170090,".#&Bulông lục giác chìm M10 x 35, bằng thép, hàng mới 100%"
7318,"Vít, bu lông, đai ốc, vít đầu vuông, vít treo, đinh tán, chốt hãm, chốt định vị, vòng đệm (kể cả vòng đệm lò xo vênh) và các sản phẩm tương tự, bằng sắt hoặc thép"
73181100,- - Vít đầu vuông
731812,- - Vít khác dùng cho gỗ:
73181210,- - - Đường kính ngoài của thân không quá 16 mm || .#&Vít + nở 8 || .#&Vít bắn nhanh
73181300,- - Đinh móc và đinh vòng
731814,- - Vít tự hãm:
73181410,".#&Bulong M14x70, chất liệu inox được tiện ren theo tiêu chuẩn ren hệ mét, hàng mới 100%"
731815,"- - Đinh vít và bu lông khác, có hoặc không có đai ốc hoặc vòng đệm:"
