hscode,mota
16055300,- - Vẹm (Mussels)
160554,- - Mực nang và mực ống:
16055410,- - - Đóng bao bì kín khí để bán lẻ
16055490,- - - Loại khác
16055500,- - Bạch tuộc
16055600,"- - Nghêu (ngao), sò"
160557,- - Bào ngư:
16055710,- - - Đóng bao bì kín khí để bán lẻ
16055790,- - - Loại khác
16055800,"- - Ốc, trừ ốc biển"
16055900,- - Loại khác
#467,- Động vật thủy sinh không xương sống khác:
16056100,- - Hải sâm
16056200,- - Cầu gai
16056300,- - Sứa
16056900,- - Loại khác
#468,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022
#469,Chương 17
#470,Đường và các loại kẹo đường
#471,Chú giải
#472,1. Chương này không bao gồm:
#473,(a) Các loại kẹo đường chứa ca cao (nhóm 18.06);
#474,"(b) Các loại đường tinh khiết về mặt hóa học (trừ sucroza, lactoza, maltoza, glucoza và fructoza) hoặc các sản phẩm khác của nhóm 29.40; hoặc"
#475,(c) Thuốc hoặc các sản phẩm khác của Chương 30. 
#476,Chú giải phân nhóm
#477,"1. Theo mục đích của các phân nhóm 1701.12, 1701.13 và 1701.14, khái niệm ""đường thô"" có nghĩa là các loại đường có hàm lượng sucroza tính theo khối lượng, ở thể khô, tương ứng với kết quả dưới 99,5o trên phân cực kế."
#478,"2. Phân nhóm 1701.13 chỉ bao gồm đường mía, thu được không qua quá trình ly tâm, trong đó hàm lượng đường sucroza tính theo khối lượng, ở thể khô, tương ứng với kết quả trên phân cực kế từ 69o đến dưới 93o. Sản phẩm này chỉ chứa các vi tinh thể anhedral tự nhiên, có hình dạng không đều, không thể quan sát được bằng mắt thường, được bao phủ bằng phế liệu từ mật mía và các thành phần khác của cây mía đường."
1701,"Đường mía hoặc đường củ cải và đường sucroza tinh khiết về mặt hóa học, ở thể rắn"
#479,- Đường thô chưa pha thêm hương liệu hoặc chất màu:
17011200,- - Đường củ cải
17011300,- - Đường mía đã nêu trong Chú giải phân nhóm 2 của Chương này
17011400,- - Các loại đường mía khác
#480,- Loại khác:
17019100,- - Đã pha thêm hương liệu hoặc chất màu
170199,- - Loại khác:
17019910,- - - Đường đã tinh luyện
17019990,- - - Loại khác
1702,"Đường khác, kể cả đường lactoza, mantoza, glucoza và fructoza, tinh khiết về mặt hóa học, ở thể rắn; xirô đường chưa pha thêm hương liệu hoặc chất màu; mật ong nhân tạo, đã hoặc chưa pha trộn với mật ong tự nhiên; đường caramen"
#481,- Lactoza và xirô lactoza:
17021100,"- - Có hàm lượng lactoza khan từ 99% trở lên, tính theo khối lượng chất khô"
17021900,- - Loại khác
17022000,- Đường từ cây thích (maple) và xirô từ cây thích
170230,"- Glucoza và xirô glucoza, không chứa hoặc có chứa hàm lượng fructoza dưới 20% tính theo khối lượng ở thể khô:"
17023010,- - Glucoza
17023020,- - Xirô glucoza
17024000,"- Glucoza và xirô glucoza, chứa hàm lượng fructoza ít nhất là 20% nhưng dưới 50% tính theo khối lượng ở thể khô, trừ đường nghịch chuyển"
17025000,- Fructoza tinh khiết về mặt hóa học
170260,"- Fructoza và xirô fructoza khác, chứa hàm lượng fructoza trên 50% tính theo khối lượng ở thể khô, trừ đường nghịch chuyển:"
17026010,- - Fructoza
17026020,- - Xirô fructoza
170290,"- Loại khác, kể cả đường nghịch chuyển và đường khác và hỗn hợp xirô đường có chứa hàm lượng fructoza là 50% tính theo khối lượng ở thể khô:"
#482,- - Mantoza và xirô mantoza:
17029011,- - - Mantoza tinh khiết về mặt hóa học
17029019,- - - Loại khác
17029020,"- - Mật ong nhân tạo, đã hoặc chưa pha trộn với mật ong tự nhiên"
17029030,- - Đường đã pha hương liệu hoặc chất màu (trừ mantoza)
17029040,- - Đường caramen
#483,- - Đường từ cây họ cọ (Palm sugar):
17029051,- - - Đường sáp dừa (Coconut sap sugar) (SEN)
17029059,- - - Loại khác (SEN)
#484,- - Loại khác:
17029091,- - - Xi rô đường
17029099,- - - Loại khác
1703,Mật thu được từ chiết xuất hoặc tinh chế đường
170310,- Mật mía:
17031010,- - Đã pha thêm hương liệu hoặc chất màu
17031090,- - Loại khác
170390,- Loại khác:
17039010,- - Đã pha thêm hương liệu hoặc chất màu
17039090,- - Loại khác
1704,"Các loại kẹo đường (kể cả sô cô la trắng), không chứa ca cao"
17041000,"- Kẹo cao su, đã hoặc chưa bọc đường"
170490,- Loại khác:
17049010,- - Kẹo và viên ngậm ho 
17049020,- - Sô cô la trắng
#485,- - Loại khác:
17049091,"- - - Dẻo, có chứa gelatin (SEN)"
17049099,- - - Loại khác
#486,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022
#487,Chương 18
#488,Ca cao và các chế phẩm từ ca cao
#489,Chú giải
#490,1. Chương này không bao gồm:
#491,"(a) Chế phẩm thực phẩm có hàm lượng trên 20% tính theo khối lượng là xúc xích, thịt, các phụ phẩm dạng thịt sau giết mổ, tiết, côn trùng, cá hoặc động vật giáp xác, động vật thân mềm hoặc động vật thủy sinh không xương sống khác, hoặc hỗn hợp bất kỳ của các loại trên (Chương 16);"
#492,"(b) Các chế phẩm thuộc các nhóm 04.03, 19.01, 19.02, 19.04, 19.05, 21.05, 22.02, 22.08, 30.03 hoặc 30.04."
#493,"2. Nhóm 18.06 bao gồm các loại kẹo đường có chứa ca cao và các loại chế phẩm thực phẩm khác chứa ca cao, trừ các chế phẩm thuộc các nhóm đã ghi trong Chú giải 1 Chương này."
1801,"Hạt ca cao, đã hoặc chưa vỡ mảnh, sống hoặc đã rang"
18010010,- Đã lên men (SEN)
18010090,- Loại khác
18020000,"Vỏ quả, vỏ hạt, vỏ lụa và phế liệu ca cao khác"
1803,"Bột ca cao nhão, đã hoặc chưa khử chất béo"
18031000,- Chưa khử chất béo
18032000,- Đã khử một phần hoặc toàn bộ chất béo
18040000,"Bơ ca cao, chất béo và dầu ca cao"
18050000,"Bột ca cao, chưa pha thêm đường hoặc chất tạo ngọt khác"
1806,Sô cô la và các chế phẩm thực phẩm khác có chứa ca cao
18061000,"- Bột ca cao, đã pha thêm đường hoặc chất tạo ngọt khác"
180620,"- Chế phẩm khác ở dạng khối, miếng hoặc thanh có khối lượng trên 2 kg hoặc ở dạng lỏng, dạng nhão, bột mịn, dạng hạt hoặc dạng rời khác đóng trong bao bì hoặc gói sẵn, khối lượng trên 2 kg:"
18062010,"- - Kẹo sô cô la ở dạng khối, miếng hoặc thanh"
18062090,- - Loại khác
#494,"- Loại khác, ở dạng khối, miếng hoặc thanh:"
18063100,- - Có nhân
18063200,- - Không có nhân
180690,- Loại khác:
18069010,- - Kẹo sô cô la ở dạng viên (tablets) hoặc viên ngậm (pastilles)
18069030,"- - Các chế phẩm thực phẩm từ bột, bột thô, tinh bột hoặc chiết xuất malt, có chứa từ 40% trở lên nhưng không quá 50% tính theo khối lượng là ca cao đã khử toàn bộ chất béo"
18069040,"- - Các chế phẩm thực phẩm làm từ sản phẩm thuộc các nhóm từ 04.01 đến 04.04, có chứa từ 5% trở lên nhưng không quá 10% tính theo khối lượng là ca cao đã khử toàn bộ chất béo, được chế biến đặc biệt cho trẻ sơ sinh hoặc trẻ nhỏ, chưa đóng gói để bán lẻ"
18069090,- - Loại khác
#495,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022
#496,Chương 19
#497,"Chế phẩm từ ngũ cốc, bột, tinh bột hoặc sữa; các loại bánh"
#498,Chú giải
#499,1. Chương này không bao gồm:
#500,"(a) Các chế phẩm thực phẩm có chứa trên 20% tính theo khối lượng là xúc xích, thịt, phụ phẩm dạng thịt sau giết mổ, tiết, côn trùng, cá hoặc động vật giáp xác, động vật thân mềm hoặc động vật thủy sinh không xương sống khác, hoặc hỗn hợp bất kỳ của các loại trên (Chương 16), trừ các sản phẩm được nhồi thuộc nhóm 19.02;"
#501,"(b) Bánh bích quy hoặc các sản phẩm khác làm từ bột hoặc tinh bột, được chế biến đặc biệt dùng để chăn nuôi động vật (nhóm 23.09); hoặc"
#502,(c) Thuốc hoặc các sản phẩm khác của Chương 30. 
#503,2. Theo mục đích của nhóm 19.01:
#504,"(a) Thuật ngữ ""tấm"" có nghĩa là tấm từ ngũ cốc thuộc Chương 11; "
#505,"(b) Thuật ngữ ""bột"" và ""bột thô"" có nghĩa là:"
#506,"(1) Bột và bột thô từ ngũ cốc thuộc Chương 11, và"
#507,"(2) Bột, bột thô và bột mịn nguồn gốc thực vật ở bất kỳ Chương nào, trừ bột, bột thô hoặc bột mịn của rau khô (nhóm 07.12), của khoai tây (nhóm 11.05) hoặc của các loại rau đậu khô (nhóm 11.06)."
#508,3. Nhóm 19.04 không bao gồm các chế phẩm có chứa trên 6% tính theo khối lượng là ca cao đã được khử toàn bộ chất béo hoặc được phủ sô cô la hoặc các chế phẩm thực phẩm khác có chứa ca cao thuộc nhóm 18.06 (nhóm 18.06).
#509,"4. Theo mục đích nhóm 19.04, thuật ngữ ""chế biến cách khác"" có nghĩa là được chế biến hoặc xử lý ngoài phạm vi quy định tại các nhóm hoặc các Chú giải của các Chương 10 hoặc 11."
1901,"Chiết xuất malt; chế phẩm thực phẩm từ bột, tấm, bột thô, tinh bột hoặc từ chiết xuất malt, không chứa ca cao hoặc chứa dưới 40% tính theo khối lượng là ca cao đã khử toàn bộ chất béo, chưa được chi tiết hoặc ghi ở nơi khác; chế phẩm thực phẩm từ sản phẩm thuộc các nhóm 04.01 đến 04.04, không chứa ca cao hoặc chứa dưới 5% tính theo khối lượng là ca cao đã khử toàn bộ chất béo, chưa được chi tiết hoặc ghi ở nơi khác"
190110,"- Các chế phẩm phù hợp dùng cho trẻ sơ sinh hoặc trẻ nhỏ, đã đóng gói để bán lẻ:"
19011010,- - Từ chiết xuất malt
19011020,- - Từ sản phẩm thuộc các nhóm từ 04.01 đến 04.04
19011030,- - Từ bột đỗ tương
#510,- - Loại khác:
19011091,- - - Sản phẩm dinh dưỡng y tế(SEN)
19011092,"- - - Loại khác, dùng cho trẻ trên một tuổi nhưng không quá ba tuổi"
19011099,- - - Loại khác
190120,- Bột trộn và bột nhào để chế biến thành các loại bánh thuộc nhóm 19.05:
19012010,"- - Từ bột, tấm, bột thô, tinh bột hoặc chiết xuất malt, không chứa ca cao"
19012020,"- - Từ bột, tấm, bột thô, tinh bột hoặc chiết xuất malt, chứa ca cao"
19012030,"- - Loại khác, không chứa ca cao"
19012040,"- - Loại khác, chứa ca cao"
190190,- Loại khác:
#511,"- - Các chế phẩm phù hợp dùng cho trẻ sơ sinh hoặc trẻ nhỏ, chưa đóng gói để bán lẻ:"
19019011,- - - Sản phẩm dinh dưỡng y tế (SEN)
19019019,- - - Loại khác
19019020,- - Chiết xuất malt
#512,"- - Loại khác, làm từ sản phẩm thuộc nhóm từ 04.01 đến 04.04:"
19019031,- - - Chứa sữa (SEN)
19019032,"- - - Loại khác, chứa bột ca cao"
19019039,- - - Loại khác
#513,- - Các chế phẩm khác từ đỗ tương:
19019041,- - - Dạng bột
19019049,- - - Dạng khác
#514,- - Loại khác:
19019091,- - - Sản phẩm dinh dưỡng y tế (SEN)
19019099,- - - Loại khác
1902,"Sản phẩm từ bột nhào (pasta), đã hoặc chưa làm chín hoặc nhồi (thịt hoặc các chất khác) hoặc chế biến cách khác, như spaghetti, macaroni, mì sợi (noodle), mì dẹt (lasagne), gnocchi, ravioli, cannelloni; couscous, đã hoặc chưa chế biến"
#515,"- Sản phẩm từ bột nhào chưa làm chín, chưa nhồi hoặc chưa chế biến cách khác:"
19021100,- - Có chứa trứng
190219,- - Loại khác:
19021920,"- - - Mì, bún làm từ gạo (kể cả bee hoon)"
19021930,- - - Miến 
19021940,- - - Mì khác
19021990,- - - Loại khác
190220,"- Sản phẩm từ bột nhào đã được nhồi, đã hoặc chưa nấu chín hoặc chế biến cách khác:"
19022010,- - Được nhồi thịt hoặc phụ phẩm dạng thịt sau giết mổ
19022030,"- - Được nhồi cá, động vật giáp xác hoặc động vật thân mềm"
19022090,- - Loại khác
190230,- Sản phẩm từ bột nhào khác:
19023020,"- - Mì, bún làm từ gạo (kể cả bee hoon)"
19023030,- - Miến 
19023040,- - Mì ăn liền khác
19023090,- - Loại khác
19024000,- Couscous
19030000,"Sản phẩm từ tinh bột sắn và sản phẩm thay thế chế biến từ tinh bột, ở dạng mảnh, hạt, bột xay, bột rây hoặc các dạng tương tự"
1904,"Thực phẩm chế biến thu được từ quá trình rang hoặc nổ ngũ cốc hoặc các sản phẩm ngũ cốc (ví dụ mảnh ngô được chế biến từ bột ngô (corn flakes)); ngũ cốc (trừ ngô), ở dạng hạt hoặc dạng mảnh hoặc đã làm thành dạng hạt khác (trừ bột, tấm và bột thô), đã làm chín sơ hoặc chế biến cách khác, chưa được chi tiết hoặc ghi ở nơi khác"
190410,- Thực phẩm chế biến thu được từ quá trình rang hoặc nổ ngũ cốc hoặc các sản phẩm ngũ cốc:
19041010,- - Chứa ca cao
19041090,- - Loại khác
190420,- Thực phẩm chế biến từ mảnh ngũ cốc chưa rang hoặc từ hỗn hợp của mảnh ngũ cốc chưa rang và mảnh ngũ cốc đã rang hoặc ngũ cốc đã nổ:
19042010,- - Thực phẩm chế biến từ mảnh ngũ cốc chưa rang
19042090,- - Loại khác
19043000,- Lúa mì bulgur (1)
190490,- Loại khác:
19049010,"- - Các chế phẩm từ gạo, kể cả gạo đã nấu chín sơ"
19049090,- - Loại khác
1905,"Bánh mì, bánh bột nhào (pastry), bánh ga tô (cakes), bánh quy và các loại bánh khác, có hoặc không chứa ca cao; bánh thánh, vỏ viên nhộng dùng trong ngành dược, bánh xốp sealing wafers, bánh đa và các sản phẩm tương tự"
19051000,- Bánh mì giòn
19052000,- Bánh mì có gừng và loại tương tự
#516,- Bánh quy ngọt; bánh waffles và bánh xốp wafers:
190531,- - Bánh quy ngọt:
19053110,- - - Không chứa ca cao
19053120,- - - Chứa ca cao
190532,- - Bánh waffles và bánh xốp wafers:
19053210,- - - Bánh waffles (SEN)
19053220,- - - Bánh xốp wafers (SEN)
190540,"- Bánh bít cốt (rusks), bánh mì nướng và các loại bánh nướng tương tự:"
19054010,"- - Chưa thêm đường, mật ong, trứng, chất béo, pho mát hoặc trái cây"
19054090,- - Loại khác
190590,- Loại khác:
19059010,- - Bánh quy không ngọt dùng cho trẻ mọc răng hoặc thay răng
19059020,- - Bánh quy không ngọt khác
19059030,- - Bánh ga tô (cakes)
19059040,- - Bánh bột nhào (pastry)
19059050,- - Các loại bánh không bột
19059060,- - Vỏ viên nhộng và sản phẩm tương tự dùng trong dược phẩm
19059070,"- - Bánh thánh, bánh xốp sealing wafers, bánh đa và các sản phẩm tương tự"
19059080,- - Các sản phẩm thực phẩm giòn có hương liệu khác
19059090,- - Loại khác
#517,(1) Tham khảo TCVN 4995:2016
#518,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022
#519,Chương 20
#520,"Các chế phẩm từ rau, quả, quả hạch (nuts) hoặc các phần khác của cây"
#521,Chú giải
#522,1. Chương này không bao gồm:
#523,"(a) Các loại rau, quả hoặc quả hạch (nuts), được chế biến hoặc bảo quản theo quy trình đã ghi trong Chương 7, 8 hoặc 11;"
#524,(b) Chất béo và dầu thực vật (Chương 15);
#525,"(c) Các chế phẩm thực phẩm chứa trên 20% tính theo khối lượng là xúc xích, thịt, các phụ phẩm dạng thịt sau giết mổ, tiết, côn trùng, cá hoặc động vật giáp xác, động vật thân mềm hoặc động vật thủy sinh không xương sống khác, hoặc hỗn hợp bất kỳ của các loại trên (Chương 16);"
#526,(d) Các loại bánh và sản phẩm khác thuộc nhóm 19.05; hoặc
#527,(e) Các chế phẩm thực phẩm tổng hợp đồng nhất thuộc nhóm 21.04.
#528,"2. Các nhóm 20.07 và 20.08 không áp dụng cho các loại thạch trái cây, bột nhão từ quả, các loại quả hạnh bọc đường hoặc các sản phẩm tương tự chế biến dưới dạng kẹo đường (nhóm 17.04) hoặc kẹo sôcôla (nhóm 18.06)."
#529,"3. Các nhóm 20.01, 20.04 và 20.05, tùy theo từng trường hợp, chỉ bao gồm những sản phẩm thuộc Chương 7 hoặc nhóm 11.05 hoặc 11.06 (trừ bột, bột thô và bột mịn của các sản phẩm đã ghi trong Chương 8) đã được chế biến hoặc bảo quản theo các quy trình khác với quy trình đã ghi trong Chú giải 1(a)."
#530,4. Nước ép cà chua có hàm lượng chất khô từ 7% trở lên được xếp vào nhóm 20.02.
#531,"5. Theo mục đích của nhóm 20.07, khái niệm ""thu được từ quá trình đun nấu"" có nghĩa là thu được bằng cách xử lý nhiệt ở áp suất không khí hoặc giảm áp suất để làm tăng độ dẻo của một sản phẩm thông qua việc giảm lượng nước hoặc thông qua biện pháp khác."
#532,"6. Theo mục đích của nhóm 20.09, khái niệm ""các loại nước ép, chưa lên men và chưa pha rượu"" để chỉ các loại nước ép có nồng độ cồn không quá 0,5% tính theo thể tích (xem Chú giải 2 của Chương 22)."
#533,Chú giải phân nhóm
#534,"1. Theo mục đích của phân nhóm 2005.10, khái niệm ""rau đồng nhất"" chỉ các loại chế phẩm từ rau, đã đồng nhất mịn, phù hợp dùng làm thức ăn cho trẻ sơ sinh hoặc trẻ nhỏ hoặc để ăn kiêng, đóng gói để bán lẻ, trong bao bì với khối lượng tịnh không quá 250 gam. Khi áp dụng định nghĩa này không cần quan tâm đến những thành phần có hàm lượng nhỏ cho thêm vào làm gia vị, để bảo quản hoặc đáp ứng các mục đích khác. Các chế phẩm này có thể chứa một lượng nhỏ mảnh vụn rau có thể nhìn thấy được. Phân nhóm 2005.10 được ưu tiên xem xét trước trong các phân nhóm thuộc nhóm 20.05."
#535,"2. Theo mục đích của phân nhóm 2007.10, khái niệm ""chế phẩm đồng nhất"" chỉ các loại chế phẩm của quả, đã đồng nhất mịn, phù hợp dùng làm thức ăn cho trẻ sơ sinh hoặc trẻ nhỏ hoặc để ăn kiêng, đóng gói để bán lẻ trong bao bì với khối lượng tịnh không quá 250 gam. Khi áp dụng định nghĩa này không cần quan tâm đến những thành phần có hàm lượng nhỏ cho thêm vào làm gia vị, để bảo quản hoặc đáp ứng các mục đích khác. Các chế phẩm này có thể chứa một lượng nhỏ mảnh vụn quả có thể nhìn thấy được. Phân nhóm 2007.10 được ưu tiên xem xét trước trong các phân nhóm thuộc nhóm 20.07."
#536,"3. Theo mục đích của các phân nhóm 2009.12, 2009.21, 2009.31, 2009.41, 2009.61 và 2009.71, khái niệm ""giá trị Brix"" có nghĩa là đọc trực tiếp độ Brix từ tỷ trọng kế Brix hoặc của chỉ số khúc xạ được biểu thị theo khái niệm tỷ lệ phần trăm thành phần sucroza đo bằng khúc xạ kế, ở nhiệt độ 20°C hoặc được hiệu chỉnh về 20°C nếu phép đo được tiến hành ở một nhiệt độ khác."
2001,"Rau, quả, quả hạch (nuts) và các phần ăn được khác của cây, đã chế biến hoặc bảo quản bằng giấm hoặc axit axetic"
20011000,- Dưa chuột và dưa chuột ri
200190,- Loại khác:
20019010,- - Hành tây
20019090,- - Loại khác
2002,Cà chua đã chế biến hoặc bảo quản bằng cách khác trừ loại bảo quản bằng giấm hoặc axit axetic
20021000,"- Cà chua, nguyên quả hoặc dạng miếng"
200290,- Loại khác:
20029010,- - Bột cà chua dạng sệt (SEN)
20029020,- - Bột cà chua
20029090,- - Loại khác
2003,"Nấm và nấm cục (truffles), đã chế biến hoặc bảo quản bằng cách khác trừ bảo quản bằng giấm hoặc axit axetic"
20031000,- Nấm thuộc chi Agaricus
200390,- Loại khác:
20039010,- - Nấm cục (truffles)
20039090,- - Loại khác
2004,"Rau khác, đã chế biến hoặc bảo quản bằng cách khác trừ bảo quản bằng giấm hoặc axit axetic, đã đông lạnh, trừ các sản phẩm thuộc nhóm 20.06"
20041000,- Khoai tây
200490,- Rau khác và hỗn hợp các loại rau:
20049010,- - Phù hợp dùng cho trẻ sơ sinh hoặc trẻ nhỏ
20049090,- - Loại khác
2005,"Rau khác đã chế biến hoặc bảo quản bằng cách khác trừ bảo quản bằng giấm hoặc axit axetic, không đông lạnh, trừ các sản phẩm thuộc nhóm 20.06"
200510,- Rau đồng nhất:
20051020,- - Phù hợp dùng cho trẻ sơ sinh hoặc trẻ nhỏ
20051030,- - Phù hợp dùng cho mục đích ăn kiêng
200520,- Khoai tây:
#537,- - Dạng thanh và que:
20052011,- - - Đóng bao bì kín khí để bán lẻ (SEN)
20052019,- - - Loại khác (SEN)
#538,- - Loại khác:
20052091,- - - Đóng bao bì kín khí để bán lẻ
20052099,- - - Loại khác
20054000,- Đậu Hà Lan (Pisum sativum)
#539,"- Đậu hạt (Vigna spp., Phaseolus spp.):"
20055100,- - Đã bóc vỏ
200559,- - Loại khác:
20055910,- - - Đóng bao bì kín khí để bán lẻ
20055990,- - - Loại khác
20056000,- Măng tây
20057000,- Ô liu
20058000,- Ngô ngọt (Zea mays var. saccharata)
#540,- Rau khác và hỗn hợp các loại rau:
20059100,- - Măng tre
200599,- - Loại khác:
20059910,- - - Đóng bao bì kín khí để bán lẻ
20059990,- - - Loại khác
20060000,"Rau, quả, quả hạch (nuts), vỏ quả và các phần khác của cây, được bảo quản bằng đường (dạng khô có tẩm đường, ngâm trong nước đường hoặc bọc đường)"
2007,"Mứt, thạch trái cây, mứt từ quả thuộc chi cam quýt, quả hoặc quả hạch (nuts) dạng nghiền (purée) và dạng nhão, thu được từ quá trình đun nấu, đã hoặc chưa pha thêm đường hoặc chất tạo ngọt khác"
20071000,- Chế phẩm đồng nhất
#541,- Loại khác:
20079100,- - Từ quả thuộc chi cam quýt
200799,- - Loại khác:
20079910,"- - - Trái cây dạng nhão, trừ xoài, dứa hoặc dâu tây dạng nhão"
20079920,- - - Mứt và thạch trái cây
20079930,- - - Xoài nghiền (Mango purée) (SEN)
20079990,- - - Loại khác
2008,"Quả, quả hạch (nuts) và các phần ăn được khác của cây, đã chế biến hoặc bảo quản bằng cách khác, đã hoặc chưa pha thêm đường hoặc chất tạo ngọt khác hoặc rượu, chưa được chi tiết hoặc ghi ở nơi khác"
#542,"- Quả hạch (nuts), lạc và hạt khác, đã hoặc chưa pha trộn với nhau:"
200811,- - Lạc:
20081110,- - - Đã rang
20081120,- - - Bơ lạc
20081190,- - - Loại khác
200819,"- - Loại khác, kể cả các hỗn hợp:"
20081910,- - - Hạt điều
#543,- - - Loại khác:
20081991,- - - - Đã rang
20081999,- - - - Loại khác
200820,- Dứa:
20082010,- - Đóng bao bì kín khí để bán lẻ
20082090,- - Loại khác
200830,- Quả thuộc chi cam quýt:
20083010,- - Đã pha thêm đường hoặc chất tạo ngọt khác hoặc rượu
20083090,- - Loại khác
20084000,- Lê
20085000,- Mơ
200860,- Anh đào (Cherries):
20086010,- - Đã pha thêm đường hoặc chất tạo ngọt khác hoặc rượu
20086090,- - Loại khác
200870,"- Đào, kể cả quả xuân đào:"
20087010,- - Đã pha thêm đường hoặc chất tạo ngọt khác hoặc rượu
20087090,- - Loại khác
20088000,- Dâu tây
#544,"- Loại khác, kể cả dạng hỗn hợp trừ loại thuộc phân nhóm 2008.19:"
20089100,- - Lõi cây cọ
200893,"- - Quả nam việt quất (Vaccinium macrocarpon, Vaccinium oxycoccos); quả lingonberries (Vaccinium Vitis-idaea):"
20089310,- - - Đã pha thêm đường hoặc chất tạo ngọt khác hoặc rượu
20089390,- - - Loại khác
200897,- - Dạng hỗn hợp:
20089710,"- - - Từ thân cây, rễ cây và các phần ăn được khác của cây, không bao gồm quả hoặc quả hạch (nuts) đã hoặc chưa pha thêm đường hoặc chất tạo ngọt khác hoặc rượu"
20089720,"- - - Loại khác, đã pha thêm đường hoặc chất tạo ngọt khác hoặc rượu"
20089790,- - - Loại khác
200899,- - Loại khác:
20089910,- - - Quả vải
20089920,- - - Quả nhãn
20089930,"- - - Từ thân cây, rễ cây và các phần ăn được khác của cây, không bao gồm quả hoặc quả hạch (nuts) đã hoặc chưa pha thêm đường hoặc chất tạo ngọt khác hoặc rượu"
20089940,"- - - Loại khác, đã pha thêm đường hoặc chất tạo ngọt khác hoặc rượu"
20089990,- - - Loại khác
2009,"Các loại nước ép trái cây hoặc nước ép từ quả hạch (nut) (kể cả hèm nho và nước dừa) và nước rau ép, chưa lên men và chưa pha thêm rượu, đã hoặc chưa pha thêm đường hoặc chất tạo ngọt khác"
#545,- Nước cam ép:
20091100,- - Đông lạnh
20091200,"- - Không đông lạnh, với trị giá Brix không quá 20"
20091900,- - Loại khác
#546,- Nước ép quả bưởi chùm; nước ép quả bưởi: 
20092100,- - Với trị giá Brix không quá 20
20092900,- - Loại khác
#547,- Nước ép từ một loại quả thuộc chi cam quýt khác:
20093100,- - Với trị giá Brix không quá 20
20093900,- - Loại khác
#548,- Nước dứa ép:
20094100,- - Với trị giá Brix không quá 20
20094900,- - Loại khác
20095000,- Nước cà chua ép
#549,- Nước nho ép (kể cả hèm nho):
20096100,- - Với trị giá Brix không quá 30
20096900,- - Loại khác
#550,- Nước táo ép:
20097100,- - Với trị giá Brix không quá 20
20097900,- - Loại khác
#551,"- Nước ép từ một loại quả, quả hạch (nut) hoặc rau khác:"
200981,"- - Nước quả nam việt quất ép (Vaccinium macrocarpon, Vaccinium oxycoccos); nước quả lingonberry ép (Vaccinium Vitis-idaea):"
20098110,- - - Phù hợp dùng cho trẻ sơ sinh hoặc trẻ nhỏ
20098190,- - - Loại khác
200989,- - Loại khác:
20098910,- - - Nước ép từ quả lý chua đen
20098920,- - - Nước dừa (SEN)
20098930,- - - Nước dừa cô đặc (SEN)
20098940,- - - Nước xoài ép cô đặc 
#552,- - - Loại khác:
20098991,- - - - Phù hợp dùng cho trẻ sơ sinh hoặc trẻ nhỏ
20098999,- - - - Loại khác
200990,- Nước ép hỗn hợp:
20099010,- - Phù hợp dùng cho trẻ sơ sinh hoặc trẻ nhỏ
#553,- - Loại khác:
20099091,- - - Dùng ngay được
20099099,- - - Loại khác
#554,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022
#555,Chương 21
#556,Các chế phẩm ăn được khác
#557,Chú giải
#558,1. Chương này không bao gồm:
#559,(a) Các loại rau hỗn hợp thuộc nhóm 07.12;
#560,(b) Các chất thay thế cà phê rang có chứa cà phê theo tỷ lệ bất kỳ (nhóm 09.01);
#561,(c) Chè đã pha hương liệu (nhóm 09.02);
#562,(d) Các gia vị hoặc các sản phẩm khác thuộc các nhóm từ 09.04 đến 09.10;
#563,"(e) Các chế phẩm thực phẩm, trừ các sản phẩm ghi trong nhóm 21.03 hoặc 21.04, chứa trên 20% tính theo khối lượng là xúc xích, thịt, phụ phẩm dạng thịt sau giết mổ, tiết, côn trùng, cá hoặc động vật giáp xác, động vật thân mềm hoặc các loại động vật thủy sinh không xương sống khác, hoặc hỗn hợp bất kỳ của các loại trên (Chương 16);"
#564,(f) Các sản phẩm của nhóm 24.04;
#565,(g) Men được đóng gói như dược phẩm hoặc các sản phẩm khác thuộc nhóm 30.03 hoặc 30.04; hoặc
#566,(h) Enzyme đã chế biến thuộc nhóm 35.07.
#567,2. Các chiết xuất từ các chất thay thế ghi trong Chú giải 1(b) trên đây được xếp vào nhóm 21.01.
