hscode,mo_ta
,(SEN): Tham khảo chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022
,Chương 40
,Cao su và các sản phẩm bằng cao su
,Chú giải
,"1. Trừ khi có yêu cầu khác, trong toàn bộ Danh mục, khái niệm “cao su” chỉ những sản phẩm dưới đây, đã hoặc chưa lưu hóa hoặc ở dạng cứng: cao su tự nhiên, nhựa cây balata, nhựa két, nhựa cây cúc cao su, nhựa chicle và các loại nhựa tự nhiên tương tự, cao su tổng hợp, các chất thay thế cao su thu được từ các loại dầu, và những chất như vậy được tái sinh."
,2. Chương này không bao gồm:
,(a) Các loại hàng hóa trong Phần XI (nguyên liệu dệt và các sản phẩm dệt);
,(b) Giày dép hoặc các bộ phận của giày dép thuộc Chương 64;
,(c) Mũ và các vật đội đầu khác hoặc các bộ phận của chúng (kể cả mũ tắm) thuộc Chương 65;
,"(d) Dụng cụ điện hoặc cơ khí hoặc các bộ phận của chúng thuộc Phần XVI (kể cả đồ điện các loại), làm bằng cao su cứng;"
,"(e) Sản phẩm thuộc các Chương 90, 92, 94 hoặc 96; hoặc"
,"(f) Sản phẩm thuộc Chương 95 (trừ găng tay thể thao, găng hở ngón và găng bao tay và các sản phẩm thuộc các nhóm từ 40.11 đến 40.13)."
,"3. Trong các nhóm 40.01 đến 40.03 và 40.05, khái niệm “dạng nguyên sinh” chỉ áp dụng cho các dạng dưới đây:"
,"(a) Dạng lỏng và dạng nhão (kể cả mủ cao su (latex), đã hoặc chưa tiền lưu hóa, và các dạng phân tán và dạng hòa tan khác);"
,"(b) Các khối có hình dạng không đều, cục, bành (phiến), bột, hạt, miếng, mảnh và dạng khối tương tự."
,"4. Theo Chú giải 1 của Chương này và nhóm 40.02, khái niệm “cao su tổng hợp” áp dụng đối với:"
,"(a) Các chất tổng hợp chưa no mà chúng có thể chuyển đổi một chiều bằng quá trình lưu hóa với lưu huỳnh thành loại không phải nhiệt dẻo (non-thermoplastic), khi ở khoảng nhiệt độ từ 18oC và 29oC, sẽ không đứt dù cho kéo dãn đến ba lần chiều dài ban đầu của chúng, và sau khi bị kéo giãn tới 2 lần chiều dài ban đầu trong vòng 5 phút, nó sẽ co lại không lớn hơn 1,5 lần chiều dài ban đầu. Theo mục đích của phương pháp thử này, các chất cần thiết để tạo liên kết ngang, như các chất xúc tác hoặc các chất kích hoạt lưu hóa, có thể được thêm vào; sự có mặt của các chất theo quy định của Chú giải 5(B)(ii) và (iii) cũng được chấp nhận. Tuy nhiên, sự có mặt của bất kỳ một chất nào không cần thiết để tạo liên kết ngang, như chất độn, chất hóa dẻo và chất trương nở, là không được chấp nhận;"
,(b) Chất dẻo có chứa lưu huỳnh (TM); và
,"(c) Cao su tự nhiên đã biến đổi do ghép hoặc pha trộn với plastic, cao su tự nhiên đã khử trùng hợp, hỗn hợp của các chất tổng hợp chưa no với các polyme cao phân tử tổng hợp no với điều kiện là tất cả các sản phẩm kể trên đáp ứng các yêu cầu về lưu hóa, kéo giãn và phục hồi như đã nêu ở mục (a) trên."
,5. (A) Các nhóm 40.01 và 40.02 không áp dụng cho bất kỳ loại cao su hoặc hỗn hợp cao su nào đã kết hợp trước hoặc sau khi đông tụ với:
,"(i) các chất lưu hóa, chất xúc tác, chất hãm hoặc các chất kích hoạt (trừ các chất được thêm vào để chuẩn bị quá trình tiền lưu hóa mủ cao su);"
,"(ii) thuốc màu hoặc các chất màu khác, trừ trường hợp những chất này thêm vào chỉ để nhận biết;"
,"(iii) các chất hóa dẻo hoặc chất trương nở (trừ dầu khoáng trong trường hợp cao su đã được trương nở bởi dầu), chất độn, tác nhân gia cố, các dung môi hữu cơ hoặc bất kỳ chất nào khác, trừ những chất được cho phép trong mục (B);"
,"(B) Sự có mặt của những chất dưới đây trong bất kỳ một loại cao su hoặc hỗn hợp cao su nào sẽ không ảnh hưởng đến việc phân loại mặt hàng đó trong nhóm 40.01 hoặc 40.02, miễn là cao su hoặc hỗn hợp cao su đó vẫn giữ được đặc trưng cơ bản như một nguyên liệu thô, có thể trong những trường hợp sau:"
,(i) các chất nhũ hóa hoặc chất chống dính;
,(ii) lượng nhỏ các sản phẩm phân nhỏ của chất nhũ hóa;
,"(iii) một lượng rất nhỏ các chất sau đây: chất nhạy nhiệt (thông thường để sản xuất mủ cao su nhạy nhiệt), tác nhân hoạt động bề mặt cation (thông thường để sản xuất mủ cao su có điện dương), chất chống oxy hóa, chất làm đông tụ, chất làm bở, chất chịu lạnh, chất bảo quản, chất pepti hóa, chất ổn định, chất điều chỉnh độ nhớt hoặc các chất phụ gia với mục đích đặc biệt tương tự."
,"6. Theo mục đích của nhóm 40.04, khái niệm “phế liệu, phế thải và mảnh vụn"" chỉ các chất thải cao su, chất phế liệu, mảnh vụn từ quá trình sản xuất hoặc gia công cao su và các sản phẩm cao su không còn sử dụng được như mục đích ban đầu của chúng vì cắt ra thành từng mảnh, mài mòn hoặc các lý do khác."
,"7. Chỉ sợi hoàn toàn bằng cao su lưu hóa, có kích thước mặt cắt ngang bất kỳ trên 5 mm, được phân loại như các loại dải, thanh hoặc dạng hình khác, thuộc nhóm 40.08."
,"8. Nhóm 40.10 gồm cả băng tải, đai tải, băng truyền (dây curoa) hoặc đai truyền bằng vải dệt đã ngâm tẩm, tráng, phủ, hoặc ép với cao su hoặc làm từ sợi dệt hoặc dây bện đã ngâm tẩm, tráng, phủ hoặc bao ngoài bằng cao su."
,"9. Trong các nhóm 40.01, 40.02, 40.03, 40.05 và 40.08 khái niệm “tấm”, “tờ” và “dải” chỉ áp dụng cho các loại tấm, tờ và dải và khối hình học đều, chưa cắt hoặc mới chỉ cắt đơn giản thành hình chữ nhật (kể cả hình vuông), có hoặc chưa có tính chất của sản phẩm và đã hoặc chưa in hoặc gia công bề mặt theo cách khác, nhưng chưa cắt thành hình hoặc gia công thêm theo cách khác."
,"Trong nhóm 40.08 khái niệm “thanh” và “dạng hình” chỉ áp dụng cho các sản phẩm như đã mô tả, đã hoặc chưa cắt thành từng đoạn hoặc gia công bề mặt nhưng chưa gia công cách khác."
4001,"Cao su tự nhiên, nhựa cây balata, nhựa két, nhựa cây cúc cao su, nhựa chicle và các loại nhựa tự nhiên tương tự, ở dạng nguyên sinh hoặc dạng tấm, tờ hoặc dải"
400110,"- Mủ cao su tự nhiên, đã hoặc chưa tiền lưu hóa: "
,"- - Chứa trên 0,5% hàm lượng amoniac tính theo thể tích:"
40011011,- - - Mủ cao su cô đặc bằng phương pháp ly tâm(SEN)
40011019,- - - Loại khác
,"- - Chứa không quá 0,5% hàm lượng amoniac tính theo thể tích:"
40011021,- - - Mủ cao su cô đặc bằng phương pháp ly tâm(SEN)
40011029,- - - Loại khác
,- Cao su tự nhiên ở dạng khác:
400121,- - Tờ cao su xông khói:
40012110,- - - RSS hạng 1 (SEN)
40012120,- - - RSS hạng 2 (SEN)
40012130,- - - RSS hạng 3 (SEN)
40012140,- - - RSS hạng 4 (SEN)
40012150,- - - RSS hạng 5 (SEN)
40012190,- - - Loại khác
400122,- - Cao su tự nhiên được định chuẩn về kỹ thuật (TSNR):
40012210,- - - TSNR 10 (SEN)
40012220,- - - TSNR 20 (SEN)
40012230,- - - TSNR L (SEN)
40012240,- - - TSNR CV (SEN)
40012250,- - - TSNR GP (SEN)
40012260,- - - TSNR 5 (SEN)
40012290,- - - Loại khác
400129,- - Loại khác:
40012910,- - - Cao su dạng tờ được làm khô bằng không khí(SEN)
40012920,- - - Crếp từ mủ cao su (SEN)
40012930,- - - Crếp làm đế giày (SEN)
40012950,- - - Crếp loại khác
40012960,- - - Cao su chế biến cao cấp
40012970,- - - Váng cao su
40012980,"- - - Loại tận thu (trên cây, dưới đất hoặc loại đã xông khói) và phần thừa lại trên chén(SEN)"
,"- - - Loại khác, dạng nguyên sinh:"
40012994,- - - - Cao su tự nhiên đã khử protein (DPNR) (SEN)
40012996,- - - - Loại khác
40012999,- - - Loại khác
400130,"- Nhựa cây balata, nhựa két, nhựa cây cúc cao su, nhựa chicle và các loại nhựa tự nhiên tương tự:"
40013020,- - Dạng nguyên sinh
40013090,- - Loại khác
4002,"Cao su tổng hợp và các chất thay thế cao su dẫn xuất từ dầu, ở dạng nguyên sinh hoặc dạng tấm, tờ hoặc dải; hỗn hợp của một sản phẩm bất kỳ của nhóm 40.01 với một sản phẩm bất kỳ của nhóm này, ở dạng nguyên sinh hoặc dạng tấm, tờ hoặc dải"
,- Cao su styren-butadien (SBR); cao su styren-butadien đã được carboxyl hóa (XSBR):
40021100,- - Dạng latex (dạng mủ cao su)
400219,- - Loại khác:
40021910,"- - - Dạng nguyên sinh hoặc dạng tấm, tờ hoặc dải chưa lưu hóa, chưa pha trộn"
40021990,- - - Loại khác
400220,- Cao su butadien (BR):
40022010,- - Dạng nguyên sinh
40022090,- - Loại khác
,- Cao su isobuten-isopren (butyl) (IIR); cao su halo-isobuten-isopren (CIIR hoặc BIIR):
400231,- - Cao su isobuten-isopren (butyl) (IIR):
40023110,"- - - Dạng tấm, tờ hoặc dải chưa lưu hóa, chưa pha trộn"
40023190,- - - Loại khác
400239,- - Loại khác:
40023910,"- - - Dạng tấm, tờ hoặc dải chưa lưu hóa, chưa pha trộn"
40023990,- - - Loại khác
,- Cao su chloroprene (chlorobutadiene) (CR):
40024100,- - Dạng latex (dạng mủ cao su)
400249,- - Loại khác:
40024910,- - - Dạng nguyên sinh
40024990,- - - Loại khác
,- Cao su acrylonitril-butadien (NBR):
40025100,- - Dạng latex (dạng mủ cao su)
400259,- - Loại khác:
40025910,- - - Dạng nguyên sinh
40025990,- - - Loại khác
400260,- Cao su isopren (IR):
40026010,- - Dạng nguyên sinh
40026090,- - Loại khác
400270,- Cao su diene chưa liên hợp- etylen- propylen (EPDM):
40027010,- - Dạng nguyên sinh
40027090,- - Loại khác
400280,- Hỗn hợp của sản phẩm bất kỳ thuộc nhóm 40.01 với sản phẩm bất kỳ của nhóm này:
40028010,- - Hỗn hợp mủ cao su tự nhiên với mủ cao su tổng hợp
40028090,- - Loại khác
,- Loại khác:
40029100,- - Dạng latex (dạng mủ cao su)
400299,- - Loại khác:
40029930,- - - Cao su tự nhiên đã epoxy hóa (ENR)
40029940,"- - - Loại khác, dạng nguyên sinh hoặc dạng tấm, tờ hoặc dải chưa lưu hóa, chưa pha trộn"
40029990,- - - Loại khác
40030000,"Cao su tái sinh ở dạng nguyên sinh hoặc dạng tấm, tờ hoặc dải."
40040000,"Phế liệu, phế thải và mảnh vụn từ cao su (trừ cao su cứng) và bột và hạt thu được từ chúng"
4005,"Cao su hỗn hợp, chưa lưu hóa, ở dạng nguyên sinh hoặc dạng tấm, tờ hoặc dải"
400510,- Hỗn hợp với muội carbon hoặc silica:
40051010,- - Của nhựa tự nhiên
40051090,- - Loại khác
40052000,- Dạng hòa tan; dạng phân tán trừ các sản phẩm thuộc phân nhóm 4005.10
,- Loại khác:
400591,"- - Dạng tấm, tờ và dải:"
40059110,- - - Của nhựa tự nhiên
40059190,"- - - Loại khác, .#&Băng tan to"
400599,- - Loại khác:
40059910,- - - Dạng latex (dạng mủ cao su)
40059920,- - - Cao su tự nhiên được pha trộn với các chất trừ carbon hoặc silica
40059990,- - - Loại khác
4006,"Các dạng khác (ví dụ, thanh, ống và dạng hình) và các sản phẩm khác (ví dụ, đĩa và vòng), bằng cao su chưa lưu hóa"
40061000,"- Dải ""camel-back"" dùng để đắp lại lốp cao su"
400690,- Loại khác:
,- - Của nhựa tự nhiên:
40069011,- - - Các sản phẩm
40069019,- - - Loại khác
40069090,- - Loại khác
40070000,Chỉ sợi và dây bện bằng cao su lưu hóa
4008,"Tấm, tờ, dải, thanh và dạng hình, bằng cao su lưu hóa trừ cao su cứng"
,- Từ cao su xốp:
400811,"- - Dạng tấm, tờ và dải:"
40081110,"- - - Chiều dày trên 5 mm, có một mặt được lót vải dệt"
40081120,"- - - Loại khác, miếng, tấm ghép với nhau để lát nền và ốp tường"
40081190,- - - Loại khác
40081900,- - Loại khác
,- Từ cao su không xốp:
400821,"- - Dạng tấm, tờ và dải:"
40082110,"- - - Chiều dày trên 5 mm, có một mặt được lót vải dệt"
40082120,"- - - Loại khác, miếng, tấm ghép với nhau để lát nền và ốp tường"
40082130,- - - Băng chắn nước (SEN)
40082140,- - - Tờ cao su dùng làm đế giày
40082190,"- - - Loại khác, .#&Tấm cao su lưu hóa dạng cuộn KT 1000x10.000x1.8mm (Bóng) || .#&Tấm cao su lưu hóa  dạng cuộn KT 1200x10.000x1.8mm (Bóng) || .#&Dây O-ring Cord 2mm, chất liệu bằng cao su"
40082900,- - Loại khác
4009,"Các loại ống, ống dẫn và ống vòi, bằng cao su lưu hóa trừ cao su cứng, có hoặc không kèm theo các phụ kiện để ghép nối (ví dụ, các đoạn nối, khớp, khuỷu, vành đệm)"
,- Chưa gia cố hoặc kết hợp với các vật liệu khác:
40091100,- - Không kèm phụ kiện ghép nối
400912,- - Có kèm phụ kiện ghép nối:
40091210,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN)
40091290,- - - Loại khác
,- Đã gia cố hoặc kết hợp duy nhất với kim loại:
400921,- - Không kèm phụ kiện ghép nối:
40092110,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN)
40092190,"- - - Loại khác, NL239#&Ống dẫn dung dịch làm mát bằng cao su dùng cho khay đựng pin của ô tô, Automotive Hose Assembly || NL239#&Ống dẫn dung dịch làm mát bằng cao su dùng cho khay đựng pin của ô tô, AUTOMOTIVE HOSE W/FITTINGS, YARN REINFORCED, V20900002A || NL239#&Ống dẫn dung dịch làm mát bằng cao su dùng cho khay đựng pin của ô tô, AUTOMOTIVE HOSE W/FITTINGS, YARN REINFORCED, V20900003A || NL239#&Ống dẫn dung dịch làm mát bằng cao su dùng cho khay đựng pin của ô tô, AUTOMOTIVE HOSE W/FITTINGS. YARN REINFORCED, V20900002A || .#&Xốp bảo ôn bằng cao su dùng trong lắp đặt điều hòa không khí  D13x13mm. Hàng mới 100% || .#&Xốp bảo ôn bằng cao su dùng trong lắp đặt điều hòa không khí D22x19mm. Hàng mới 100% || .#&Xốp bảo ôn bằng cao su dùng trong lắp đặt điều hòa không khí  D28x13mm. Hàng mới 100% || NL239#&Ống dẫn dung dịch làm mát bằng cao su dùng cho khay đựng pin của ô tô, AUTOMOTIVE HOSE W/FiTTINGS, YARN REINFORCED, V20900003A || NL239#&Ống dẫn dung dịch làm mát bằng cao su dùng cho khay đựng pin của ô tô, AUTOMOTIVE HOSE W/FITTiNGS, YARN REINFORCED, V2030GQ02A || NL239#&Ống dẫn dung dịch làm mát bằng cao su dùng cho khay đựng pin của ô tô, AUTOMOTIVE HOSE W/FITT1NGS, YARN REINFORCED, V20900002A"
400922,- - Có kèm phụ kiện ghép nối:
40092210,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN)
40092290,"- - - Loại khác, .#&Ống cao su thủy lực R1 1/4"" , L=4m + Rắc co CK19 côn lõm thẳng 1/4"" || .#&Ống cao su thủy lực R1 1/4"" , L=7m + Rắc co CK19 côn bằng thẳng 1/4""+ Áo 1/4"" 2AT"
,- Đã gia cố hoặc kết hợp duy nhất với vật liệu dệt:
400931,- - Không kèm phụ kiện ghép nối:
40093110,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN)
,- - - Loại khác:
40093191,"- - - - Ống dẫn nhiên liệu, ống dẫn nhiệt và ống dẫn nước, dùng cho xe gắn động cơ thuộc nhóm 87.02, 87.03, 87.04 hoặc 87.11"
40093199,- - - - Loại khác
400932,- - Có kèm phụ kiện ghép nối:
40093210,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN)
40093290,- - - Loại khác
,- Đã gia cố hoặc kết hợp với vật liệu khác:
400941,- - Không kèm phụ kiện ghép nối:
40094110,- - - Ống vòi cao su dùng cho bếp ga (SEN)
40094190,- - - Loại khác
400942,- - Có kèm phụ kiện ghép nối:
40094210,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN)
40094220,- - - Ống vòi cao su dùng cho bếp ga (SEN)
40094290,- - - Loại khác
4010,"Băng tải hoặc đai tải hoặc băng truyền (dây cu roa) hoặc đai truyền, bằng cao su lưu hóa"
,- Băng tải hoặc đai tải:
40101100,- - Chỉ được gia cố bằng kim loại
40101200,- - Chỉ được gia cố bằng vật liệu dệt
40101900,"- - Loại khác, .#&Dây curoa 3v630 || .#&Dây curoa 3v710 || .#&Dây curoa Fm35 || .#&Dây curoa B1800LI || .#&Dây curoa B71"
,- Băng truyền hoặc đai truyền:
40103100,"- - Băng truyền liên tục có mặt cắt ngang hình thang (băng chữ V), có gân hình chữ V, với chu vi ngoài trên 60 cm nhưng không quá 180 cm"
40103200,"- - Băng truyền liên tục có mặt cắt ngang hình thang (băng chữ V), trừ băng truyền có gân hình chữ V, với chu vi ngoài trên 60 cm nhưng không quá 180 cm"
40103300,"- - Băng truyền liên tục có mặt cắt ngang hình thang (băng chữ V), có gân hình chữ V, với chu vi ngoài trên 180 cm nhưng không quá 240 cm"
40103400,"- - Băng truyền liên tục có mặt cắt ngang hình thang (băng chữ V), trừ băng truyền có gân hình chữ V, với chu vi ngoài trên 180 cm nhưng không quá 240 cm"
40103500,"- - Băng truyền đồng bộ liên tục, có chu vi ngoài trên 60 cm nhưng không quá 150 cm"
40103600,"- - Băng truyền đồng bộ liên tục, có chu vi ngoài trên 150 cm nhưng không quá 198 cm"
40103900,- - Loại khác
4011,"Lốp bằng cao su loại bơm hơi, chưa qua sử dụng"
40111000,- Loại sử dụng cho ô tô con (motor car) (kể cả loại ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô đua)
401120,- Loại dùng cho ô tô khách (buses) (1) hoặc ô tô chở hàng (lorries):
,- - Chiều rộng không quá 450 mm:
40112011,- - - Có chiều rộng không quá 230 mm và lắp vành có đường kính không quá 16 inch (SEN)
40112012,- - - Có chiều rộng không quá 230 mm và lắp vành có đường kính trên 16 inch (SEN)
40112013,- - - Có chiều rộng trên 230 mm nhưng không quá 385 mm (SEN)
40112019,- - - Loại khác
40112090,"- - Loại khác, .#&Lốp 550-13 14PR SV dùng cho xe ô tô tải, hàng mới 100%"
40113000,- Loại sử dụng cho phương tiện bay
40114000,- Loại dùng cho xe môtô
40115000,- Loại dùng cho xe đạp
40117000,- Loại dùng cho xe và máy nông nghiệp hoặc lâm nghiệp
401180,"- Loại dùng cho xe và máy xây dựng, khai thác mỏ hoặc xếp dỡ công nghiệp:"
, - - Lắp vành có đường kính không quá 24 inch:
40118011,"- - - Loại dùng cho xe kéo, máy thuộc nhóm 84.29 hoặc 84.30, xe nâng hàng, xe cút kít hoặc xe và máy xếp dỡ công nghiệp khác, .#&Lốp đặc 650-10 dùng cho xe nâng, hàng mới 100% || .#&Lốp đặc 815-15 (28x9-15) dùng cho xe nâng, hàng mới 100% || .#&LỐP ĐẶC 700-12 dùng cho xe nâng, hàng mới 100% || .#&Lốp đặc 815-15 ( 28x9-15) dùng cho xe nâng, hàng mới 100%"
40118019,- - - Loại khác
,"- - Lắp vành có đường kính trên 24 inch, loại dùng cho xe kéo, máy thuộc nhóm 84.29 hoặc 84.30, xe nâng hàng hoặc xe và máy xếp dỡ công nghiệp khác:"
40118031,- - - Loại dùng cho máy thuộc nhóm 84.29 hoặc 84.30
40118039,- - - Loại khác
40118040,"- - Lắp vành có đường kính trên 24 inch, loại khác"
401190,- Loại khác:
40119010,- - Loại dùng cho xe thuộc Chương 87
40119020,- - Loại dùng cho máy thuộc nhóm 84.29 hoặc 84.30
40119090,- - Loại khác
4012,"Lốp bằng cao su loại bơm hơi đã qua sử dụng hoặc đắp lại; lốp đặc hoặc nửa đặc, hoa lốp và lót vành, bằng cao su"
,- Lốp đắp lại:
40121100,- - Loại sử dụng cho ô tô con (motor car) (kể cả loại ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô đua)
401212,- - Loại dùng cho ô tô khách (buses) (1) hoặc ô tô chở hàng (lorries):
40121210,- - - Chiều rộng không quá 450 mm
40121290,- - - Loại khác
40121300,- - Loại sử dụng cho phương tiện bay
401219,- - Loại khác:
40121920,- - - Loại dùng cho máy thuộc nhóm 84.27
40121930,- - - Loại dùng cho máy thuộc nhóm 84.29 hoặc 84.30
,- - - Loại dùng cho xe thuộc Chương 87:
40121941,- - - - Loại dùng cho máy kéo nông nghiệp hoặc lâm nghiệp
40121949,- - - - Loại khác
40121990,- - - Loại khác
401220,- Lốp loại bơm hơi đã qua sử dụng: 
40122010,- - Loại sử dụng cho ô tô con (motor car) (kể cả loại ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô đua)
,- - Loại dùng cho ô tô khách (buses) (1) hoặc ô tô chở hàng (lorries):
40122021,- - - Chiều rộng không quá 450 mm
40122029,- - - Loại khác
40122030,- - Loại sử dụng cho phương tiện bay
40122040,- - Loại dùng cho xe môtô
40122050,- - Loại dùng cho xe đạp
40122060,- - Loại dùng cho máy thuộc nhóm 84.29 hoặc 84.30
,- - Loại dùng cho các xe khác thuộc Chương 87:
40122071,- - - Loại dùng cho máy kéo nông nghiệp hoặc lâm nghiệp
40122079,- - - Loại khác
40122080,- - Loại dùng cho máy thuộc nhóm 84.27
,- - Loại khác:
40122091,- - - Lốp trơn (SEN)
40122099,- - - Loại khác
401290,- Loại khác:
,- - Lốp đặc:
40129014,"- - - Lốp đặc có đường kính ngoài trên 250 mm, chiều rộng không quá 450 mm"
40129017,"- - - Lốp đặc có đường kính ngoài trên 250 mm, chiều rộng trên 450 mm"
40129019,- - - Loại khác
,- - Lốp nửa đặc:
40129021,- - - Chiều rộng không quá 450 mm
40129022,- - - Có chiều rộng trên 450 mm
,- - Hoa lốp đắp lại:
40129071,- - - Chiều rộng không quá 450 mm (SEN)
40129072,- - - Có chiều rộng trên 450 mm (SEN)
40129080,- - Lót vành
40129090,- - Loại khác
4013,"Săm các loại, bằng cao su"
401310,"- Loại dùng cho ô tô con (motor car) (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô đua), ô tô khách (1) hoặc ô tô chở hàng:"
,- - Loại dùng cho ô tô con (motor car) (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô đua):
40131011,- - - Dùng cho loại lốp có chiều rộng không quá 450 mm
40131019,- - - Dùng cho loại lốp có chiều rộng trên 450 mm
,- - Loại dùng cho ô tô khách (buses) (1) hoặc ô tô chở hàng (lorries):
40131021,- - - Dùng cho loại lốp có chiều rộng không quá 450 mm
40131029,- - - Dùng cho loại lốp có chiều rộng trên 450 mm
40132000,- Loại dùng cho xe đạp
401390,- Loại khác:
,- - Loại dùng cho máy thuộc nhóm 84.29 hoặc 84.30:
40139011,- - - Dùng cho loại lốp có chiều rộng không quá 450 mm
40139019,- - - Dùng cho loại lốp có chiều rộng trên 450 mm
40139020,- - Loại dùng cho xe môtô
,- - Loại dùng cho các xe khác thuộc Chương 87:
40139031,- - - Dùng cho loại lốp có chiều rộng không quá 450 mm
40139039,- - - Dùng cho loại lốp có chiều rộng trên 450 mm
40139040,- - Loại sử dụng cho phương tiện bay
,- - Loại khác:
40139091,- - - Dùng cho loại lốp có chiều rộng không quá 450 mm
40139099,- - - Dùng cho loại lốp có chiều rộng trên 450 mm
4014,"Sản phẩm vệ sinh hoặc y tế (kể cả núm vú cao su), bằng cao su lưu hóa trừ cao su cứng, có hoặc không kèm theo các phụ kiện để ghép nối bằng cao su cứng"
40141000,- Bao tránh thai
401490,- Loại khác:
40149010,- - Núm vú của bình cho trẻ em ăn và các loại tương tự
40149040,- - Nút đậy dùng cho dược phẩm 
40149050,- - Bao ngón tay
40149090,- - Loại khác
4015,"Sản phẩm may mặc và đồ phụ trợ may mặc (kể cả găng tay, găng hở ngón và găng bao tay), dùng cho mọi mục đích, bằng cao su lưu hóa trừ cao su cứng"
,"- Găng tay, găng tay hở ngón và găng bao tay:"
401512,"- - Loại dùng cho các mục đích y tế, phẫu thuật, nha khoa hoặc thú y:"
40151210,- - - Bằng cao su tự nhiên lưu hóa
40151290,- - - Bằng cao su lưu hóa khác
401519,- - Loại khác:
40151910,- - - Bằng cao su tự nhiên lưu hóa
40151990,- - - Bằng cao su lưu hóa khác
401590,- Loại khác:
40159010,- - Tạp dề chì để chống phóng xạ
40159020,- - Bộ đồ của thợ lặn
40159090,- - Loại khác
4016,Các sản phẩm khác bằng cao su lưu hóa trừ cao su cứng
401610,- Từ cao su xốp:
40161010,"- - Lót, đệm cho các sản phẩm may mặc hoặc cho các đồ phụ trợ của quần áo"
40161020,"- - Tấm, miếng ghép với nhau để lát nền và ốp tường"
40161090,"- - Loại khác, Mặt trên của gá đặt sản phẩm để đánh dấu lên sản phẩm, bằng cao su xốp, 238*175*5mm/MODEL:VCS0918-0122000/Hàng mới 100%-CCDC || Mặt trên của bộ gá dùng để gỡ tấm mạch in ra khỏi tấm nhôm đỡ sản phẩm, bằng cao su xốp, 238*125*4mm/0/,Hàng mới 100%-CCDC || Tấm lót chống xước cho sản phẩm, bằng cao su xốp, 46cm*50m/Model: NTD-01BG 2t BLUE/ Hàng mới 100%-CCDC || Tấm lót chống xước cho sản phẩm, bằng cao su xốp, 46cm*47m/Model: NTD-01BG 2t ORANGE/Hàng mới 100%-CCDC || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, EMI_GASKET 329x10x1t, ZALDB240027 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, RIU_EMI_GASKET_TOP_SIDE, 328x10x0.5t, AELDB240008 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, RIU_EMI_GASKET_FRONT 414x9.5x0.5t, AELDB240007 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, EMI_GASKET / 82x10x1t, ZALDB240028 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, EMI_GASKET / 329x10x1t, ZALDB240027 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, EVA_FOAM_23x3T, ZYMDA230021 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, BOTTOM_EVA_FOAM_INNER 220*140*3T, ZYMDA230022 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, RADOME_BOTTOM_EVA_FOAM_BOT 402*286*5T, ZYMDA230023 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, RADOME_BOTTOM_EVA_FOAM_OHM 295*121*2T, ZYMDA230024 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, RADOME_BOTTOM_EVA_FOAM_SSM 304*283.3*2T, ZYMDA230025 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, E.V.A FOAME 5T 13*8*5T, ZYMDA230026 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, RIU_EMI_GASKET_TOP_SIDE,L=328 / 328x10x0.5t, AELDB240008 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, RIU_EMI_GASKET_FRONT / 414x9.5x0.5t, AELDB240007 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, EMI_GASKET,L=329 / 329x10x1t, ZALDB240027 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, SUPER-CAP-CUSHION, 30x72, ZALDB201224 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, EMI FOAM GASKET (13X6, 3T) || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, EMI FOAM GASKET (13X8, 4T) || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, RIU_EMI_GASKET_TOP_SIDE,L=328 328x10x0.5t, AELDB240008 || NPL217#&Cao su xốp định hình dùng đệm vào sản phẩm, RIU_EMI_GASKET_ACDC 108x25x0.5t, AELDB240009 || NL248#&Miếng đệm bằng cao su xốp, Silicone foam w/o adhesive - rectangle, square, SXA 134 6390/1"
,- Loại khác:
